,NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UZA,UZA Name,Mode,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
725,40012.0,4012,City of Winston Salem,Active,Full Reporter: Operating,95.0,"Winston-Salem, NC",DR,DO,395200.0,,,539621.0,532896.0,623787.0,585400.0,662131.0,608279.0,737008.0,770075.0,781624.0,850530.0,926246.0,944156.0,1216829.0,1172365.0,1233138.0,926012.0,985373.0,997294.0,259054.0
726,40012.0,4012,City of Winston Salem,Active,Full Reporter: Operating,95.0,"Winston-Salem, NC",MB,DO,1129827.0,,,1459807.0,1407260.0,1333487.0,1415167.0,1551542.0,1585631.0,1548171.0,1511228.0,1551908.0,1557517.0,1561765.0,1593898.0,1797309.0,2132022.0,2422748.0,1924656.0,2016829.0,1871186.0,468462.0
727,40014.0,4014,Ms Coast Transportation Authority,Active,Full Reporter: Operating,175.0,"Gulfport, MS",DR,DO,204372.0,459836.0,394373.0,313162.0,226561.0,225960.0,241527.0,268705.0,331469.0,319357.0,264150.0,275296.0,264066.0,276772.0,268869.0,252291.0,255456.0,250620.0,209075.0,300851.0,414377.0,111532.0
728,40014.0,4014,Ms Coast Transportation Authority,Active,Full Reporter: Operating,175.0,"Gulfport, MS",MB,DO,338919.0,830190.0,781902.0,724951.0,605274.0,712739.0,786150.0,1031497.0,1181602.0,1067312.0,1030818.0,1025105.0,966450.0,832580.0,891853.0,873822.0,848631.0,812231.0,723944.0,794160.0,785184.0,195060.0
729,40014.0,4014,Ms Coast Transportation Authority,Active,Full Reporter: Operating,175.0,"Gulfport, MS",VP,PT,,,,,,58894.0,413194.0,712626.0,956284.0,1160098.0,1083360.0,992111.0,988264.0,978901.0,882394.0,710032.0,631406.0,683500.0,429880.0,487790.0,789236.0,199912.0
730,40015.0,4015,"City of Jackson, MS",Active,Full Reporter: Operating,107.0,"Jackson, MS",DR,DO,81329.0,,304881.0,,,287684.0,252329.0,277386.0,260375.0,227682.0,276991.0,330876.0,246461.0,,,,,,,,,
731,40015.0,4015,"City of Jackson, MS",Active,Full Reporter: Operating,107.0,"Jackson, MS",DR,PT,,,,,,,,,,,,,79014.0,278109.0,320804.0,331051.0,366561.0,394476.0,389456.0,333857.0,301270.0,86285.0
732,40015.0,4015,"City of Jackson, MS",Active,Full Reporter: Operating,107.0,"Jackson, MS",MB,DO,253219.0,,1026621.0,,,1033617.0,983188.0,920220.0,1077917.0,924093.0,719012.0,742625.0,560946.0,,,,,,,,,
733,40015.0,4015,"City of Jackson, MS",Active,Full Reporter: Operating,107.0,"Jackson, MS",MB,PT,,,,,,,,,,,,,187091.0,745167.0,714949.0,697334.0,775954.0,743614.0,742268.0,703914.0,619398.0,169497.0
734,40017.0,4017,Lexington Transit Authority,Active,Full Reporter: Operating,131.0,"Lexington-Fayette, KY",DR,PT,633402.0,669560.0,682247.0,746207.0,1004870.0,1119701.0,1233184.0,1231319.0,1334613.0,1416661.0,1352024.0,1424809.0,1454915.0,1489712.0,1521216.0,1584861.0,1653393.0,1645184.0,1230411.0,1215829.0,1077097.0,201379.0
735,40017.0,4017,Lexington Transit Authority,Active,Full Reporter: Operating,131.0,"Lexington-Fayette, KY",DR,TX,,,,,,,,,,,,1408.0,99550.0,8849.0,,,,,,,,
736,40017.0,4017,Lexington Transit Authority,Active,Full Reporter: Operating,131.0,"Lexington-Fayette, KY",MB,DO,1777870.0,1645160.0,1333216.0,1306160.0,1895610.0,2175787.0,2330022.0,2380308.0,2462203.0,2366765.0,2271522.0,2012681.0,1921712.0,1812510.0,1722759.0,1783184.0,1857813.0,1868290.0,1691596.0,1823713.0,1875638.0,504318.0
737,40017.0,4017,Lexington Transit Authority,Active,Full Reporter: Operating,131.0,"Lexington-Fayette, KY",VP,PT,,,,,,,,,,,,98975.0,302674.0,265211.0,177106.0,171982.0,154421.0,128250.0,85412.0,101402.0,157144.0,61031.0
738,40018.0,4018,Transit Authority of River City,Active,Full Reporter: Operating,43.0,"Louisville/Jefferson County, KY-IN",DR,DO,148623.0,139598.0,123485.0,117136.0,83040.0,69725.0,72440.0,52843.0,47804.0,42479.0,40712.0,41180.0,37292.0,26110.0,8264.0,7061.0,4930.0,297.0,,,,
739,40018.0,4018,Transit Authority of River City,Active,Full Reporter: Operating,43.0,"Louisville/Jefferson County, KY-IN",DR,PT,3294028.0,3335606.0,3650592.0,3873823.0,4012203.0,3866719.0,4215879.0,4280192.0,4212461.0,3768316.0,3459157.0,3410166.0,3666321.0,3564492.0,3446972.0,3469385.0,3135085.0,3194838.0,1657253.0,1205843.0,1781450.0,527541.0
740,40018.0,4018,Transit Authority of River City,Active,Full Reporter: Operating,43.0,"Louisville/Jefferson County, KY-IN",DR,TX,,,,,,,,,,573163.0,880333.0,1034008.0,1065882.0,1418917.0,1677329.0,1815819.0,2087973.0,2246833.0,2026625.0,2212456.0,1742040.0,357803.0
741,40018.0,4018,Transit Authority of River City,Active,Full Reporter: Operating,43.0,"Louisville/Jefferson County, KY-IN",MB,DO,7576054.0,7510790.0,7694420.0,7741456.0,7859403.0,7882373.0,7673609.0,7522842.0,6927578.0,7043103.0,7119959.0,6987546.0,7040026.0,7035114.0,6914970.0,6901414.0,7032810.0,7050415.0,6151843.0,6392237.0,6457708.0,1647742.0
742,40018.0,4018,Transit Authority of River City,Active,Full Reporter: Operating,43.0,"Louisville/Jefferson County, KY-IN",MB,PT,235548.0,237296.0,241524.0,241574.0,231191.0,241785.0,239104.0,238170.0,80318.0,20241.0,20230.0,20173.0,20675.0,20784.0,20703.0,25465.0,41822.0,43002.0,25600.0,16536.0,28205.0,7290.0
743,40019.0,4019,Transit Authority of Northern Kentucky,Active,Full Reporter: Operating,30.0,"Cincinnati, OH-KY-IN",DR,DO,692356.0,800936.0,733470.0,769855.0,828704.0,821748.0,885542.0,868610.0,856674.0,873938.0,831652.0,808820.0,820938.0,882448.0,927589.0,948859.0,945743.0,937085.0,579740.0,754375.0,647250.0,119251.0
744,40019.0,4019,Transit Authority of Northern Kentucky,Active,Full Reporter: Operating,30.0,"Cincinnati, OH-KY-IN",MB,DO,3953067.0,3352017.0,3368935.0,3454112.0,2821361.0,2884351.0,2990038.0,2886191.0,2881437.0,2894363.0,2868502.0,2804686.0,3035360.0,3066161.0,3197338.0,3244443.0,3123915.0,3013229.0,2542955.0,2825900.0,2749115.0,701785.0
745,40021.0,4021,City of Albany ,Active,Full Reporter: Operating,309.0,"Albany, GA",DR,DO,174381.0,157942.0,151639.0,139346.0,139336.0,122290.0,112535.0,105186.0,98898.0,99328.0,96534.0,88631.0,100201.0,94185.0,97446.0,93840.0,105947.0,123386.0,108197.0,103718.0,78233.0,14345.0
746,40021.0,4021,City of Albany ,Active,Full Reporter: Operating,309.0,"Albany, GA",MB,DO,532194.0,536264.0,537714.0,535683.0,534219.0,534985.0,532993.0,529568.0,530982.0,574538.0,523493.0,541805.0,588650.0,595478.0,597007.0,602405.0,629356.0,625983.0,519629.0,488713.0,334141.0,75826.0
747,40022.0,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter: Operating,9.0,"Atlanta, GA",DR,DO,3311920.0,3515878.0,3693788.0,3827264.0,4247959.0,4498552.0,5490111.0,6053718.0,6103119.0,6309848.0,6610146.0,6687999.0,6643595.0,6769931.0,2571889.0,,,,,,,
748,40022.0,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter: Operating,9.0,"Atlanta, GA",DR,PT,,,,,,,,,,,,,,,4354829.0,7171176.0,7120182.0,7794657.0,5553579.0,5497674.0,6718390.0,1825290.0
749,40022.0,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter: Operating,9.0,"Atlanta, GA",HR,DO,23335207.0,22422322.0,22387469.0,21166297.0,22485671.0,22234488.0,24130814.0,23605134.0,20698019.0,17584548.0,17793075.0,17884415.0,20373740.0,22190347.0,22289125.0,22373142.0,22339565.0,22444074.0,17392974.0,18251994.0,17869307.0,4410077.0
