,NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UZA,UZA Name,Mode,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
19,6.0,0006,City of Yakima,Active,Full Reporter: Operating,248.0,"Yakima, WA",CB,PT,,,,,,,,,,,,,13530.0,28396.0,23845.0,24231.0,25322.0,26746.0,11581.0,9281.0,18375.0,6484.0
20,6.0,0006,City of Yakima,Active,Full Reporter: Operating,248.0,"Yakima, WA",DR,PT,,63181.0,37678.0,80963.0,67593.0,82831.0,101149.0,90942.0,87484.0,83174.0,81410.0,74697.0,68905.0,77851.0,78946.0,75549.0,69112.0,65844.0,36910.0,35974.0,40196.0,11160.0
21,6.0,0006,City of Yakima,Active,Full Reporter: Operating,248.0,"Yakima, WA",MB,DO,,1026338.0,527251.0,1081795.0,1176616.0,1279642.0,1454719.0,1334548.0,1287908.0,1430986.0,1538794.0,1270755.0,1145712.0,1096221.0,1033510.0,1031924.0,966034.0,922814.0,536746.0,472252.0,454913.0,155184.0
22,6.0,0006,City of Yakima,Active,Full Reporter: Operating,248.0,"Yakima, WA",VP,DO,,16589.0,10222.0,53837.0,54562.0,70541.0,96769.0,91552.0,101768.0,107115.0,78542.0,73817.0,67079.0,65659.0,49286.0,43216.0,43127.0,41514.0,6554.0,3355.0,,
23,7.0,0007,Lane Transit District,Active,Full Reporter: Operating,151.0,"Eugene, OR",DR,PT,114639.0,118445.0,125254.0,130402.0,137069.0,147829.0,161286.0,165090.0,181750.0,193598.0,203985.0,198376.0,218469.0,206591.0,189186.0,184418.0,185102.0,187641.0,82235.0,69754.0,80858.0,22472.0
24,7.0,0007,Lane Transit District,Active,Full Reporter: Operating,151.0,"Eugene, OR",DR,TX,,,,,,,,,,102424.0,110938.0,125265.0,200627.0,283169.0,297633.0,307026.0,329887.0,376866.0,224985.0,225929.0,231050.0,56736.0
25,7.0,0007,Lane Transit District,Active,Full Reporter: Operating,151.0,"Eugene, OR",MB,DO,8365005.0,8103040.0,8396793.0,8626363.0,9443294.0,10299753.0,11933051.0,11257192.0,11183247.0,11379655.0,8810087.0,8564275.0,8207934.0,7521845.0,7469388.0,7202097.0,6451902.0,5993054.0,2898610.0,2399311.0,3137938.0,870358.0
26,7.0,0007,Lane Transit District,Active,Full Reporter: Operating,151.0,"Eugene, OR",MB,PT,,,,,,,,,13446.0,15822.0,15493.0,16254.0,16552.0,15295.0,14061.0,15686.0,21350.0,19646.0,12006.0,9410.0,11685.0,3253.0
27,7.0,0007,Lane Transit District,Active,Full Reporter: Operating,151.0,"Eugene, OR",RB,DO,,,,,,,,,,,2722638.0,2765596.0,2815990.0,2672762.0,2706970.0,2959823.0,3792780.0,3951850.0,2262812.0,1865995.0,2360436.0,669293.0
28,7.0,0007,Lane Transit District,Active,Full Reporter: Operating,151.0,"Eugene, OR",VP,PT,,,,,14326.0,14386.0,14917.0,28722.0,33484.0,27734.0,30827.0,41835.0,47233.0,46767.0,40822.0,39766.0,40031.0,42659.0,10452.0,3939.0,8567.0,2442.0
