State,Government,Mode,Type,Year,Amount (thousands)
United States,State and Local,Total,Expenditure,2020,4230373319
United States,State and Local,Total,Revenue,2020,4278593485
United States,State and Local,Total,Expenditure,2019,3981748616
United States,State and Local,Total,Revenue,2019,4074320642
United States,State and Local,Total,Expenditure,2018,3818604211
United States,State and Local,Total,Revenue,2018,4099940468
United States,State and Local,Total,Expenditure,2017,3669857565
United States,State and Local,Total,Revenue,2017,3930748335
United States,State and Local,Total,Expenditure,2016,3532824918
United States,State and Local,Total,Revenue,2016,3408694937
United States,State and Local,Total,Expenditure,2015,3405438716
United States,State and Local,Total,Revenue,2015,3416065033
United States,State and Local,Total,Expenditure,2014,3290056977
United States,State and Local,Total,Revenue,2014,3629158592
United States,State and Local,Total,Expenditure,2013,3191151039
United States,State and Local,Total,Revenue,2013,3432010291
United States,State and Local,Total,Expenditure,2012,3158292614
United States,State and Local,Total,Revenue,2012,2992556766
United States,State and Local,Total,Expenditure,2011,3159581385
United States,State and Local,Total,Revenue,2011,3440608614
United States,State and Local,Total,Expenditure,2010,3115171744
United States,State and Local,Total,Revenue,2010,3180023050
United States,State and Local,Total,Expenditure,2009,2993874267
United States,State and Local,Total,Revenue,2009,2098595407
United States,State and Local,Total,Expenditure,2008,2839547849
United States,State and Local,Total,Revenue,2008,2620868024
United States,State and Local,Total,Expenditure,2007,2667470141
United States,State and Local,Total,Revenue,2007,3068075180
United States,State and Local,Total,Expenditure,2006,2502263859
United States,State and Local,Total,Revenue,2006,2742151182
United States,State and Local,Total,Expenditure,2005,2368316211
United States,State and Local,Total,Revenue,2005,2528546342
United States,State and Local,Total,Expenditure,2004,2266647123
United States,State and Local,Total,Revenue,2004,2434155253
United States,State and Local,Air,Expenditure,2020,33308462
United States,State and Local,Air,Revenue,2020,26148866
United States,State and Local,Air,Expenditure,2019,31383343
United States,State and Local,Air,Revenue,2019,26491762
United States,State and Local,Air,Expenditure,2018,28606887
United States,State and Local,Air,Revenue,2018,25160961
United States,State and Local,Air,Expenditure,2017,26001414
United States,State and Local,Air,Revenue,2017,24413145
United States,State and Local,Air,Expenditure,2016,24009201
United States,State and Local,Air,Revenue,2016,22671980
United States,State and Local,Air,Expenditure,2015,22675172
United States,State and Local,Air,Revenue,2015,21760229
United States,State and Local,Air,Expenditure,2014,21839563
United States,State and Local,Air,Revenue,2014,21089814
United States,State and Local,Air,Expenditure,2013,21463955
United States,State and Local,Air,Revenue,2013,20563684
United States,State and Local,Air,Expenditure,2012,20821095
United States,State and Local,Air,Revenue,2012,19755205
United States,State and Local,Air,Expenditure,2011,22685020
United States,State and Local,Air,Revenue,2011,18878396
United States,State and Local,Air,Expenditure,2010,24209029
United States,State and Local,Air,Revenue,2010,18066940
United States,State and Local,Air,Expenditure,2009,22753471
United States,State and Local,Air,Revenue,2009,18074433
United States,State and Local,Air,Expenditure,2008,21277449
United States,State and Local,Air,Revenue,2008,17786857
United States,State and Local,Air,Expenditure,2007,20086017
United States,State and Local,Air,Revenue,2007,16584133
United States,State and Local,Air,Expenditure,2006,18331766
United States,State and Local,Air,Revenue,2006,15446609
United States,State and Local,Air,Expenditure,2005,17969840
United States,State and Local,Air,Revenue,2005,14391302
United States,State and Local,Air,Expenditure,2004,18106573
United States,State and Local,Air,Revenue,2004,13444453
United States,State and Local,Highway,Expenditure,2020,322018143
United States,State and Local,Highway,Revenue,2020,107621938
United States,State and Local,Highway,Expenditure,2019,321675633
United States,State and Local,Highway,Revenue,2019,108252307
United States,State and Local,Highway,Expenditure,2018,308984365
United States,State and Local,Highway,Revenue,2018,104744530
United States,State and Local,Highway,Expenditure,2017,285162217
United States,State and Local,Highway,Revenue,2017,98500482
United States,State and Local,Highway,Expenditure,2016,279350940
United States,State and Local,Highway,Revenue,2016,94993646
United States,State and Local,Highway,Expenditure,2015,266877914
United States,State and Local,Highway,Revenue,2015,91011180
United States,State and Local,Highway,Expenditure,2014,255555208
United States,State and Local,Highway,Revenue,2014,88046057
United States,State and Local,Highway,Expenditure,2013,251579995
United States,State and Local,Highway,Revenue,2013,84804363
United States,State and Local,Highway,Expenditure,2012,250203973
United States,State and Local,Highway,Revenue,2012,82520046
United States,State and Local,Highway,Expenditure,2011,241811106
United States,State and Local,Highway,Revenue,2011,79130573
United States,State and Local,Highway,Expenditure,2010,247495637
United States,State and Local,Highway,Revenue,2010,75608748
United States,State and Local,Highway,Expenditure,2009,242872761
United States,State and Local,Highway,Revenue,2009,73075827
United States,State and Local,Highway,Expenditure,2008,244004801
United States,State and Local,Highway,Revenue,2008,73418121
United States,State and Local,Highway,Expenditure,2007,230330591
United States,State and Local,Highway,Revenue,2007,72010872
United States,State and Local,Highway,Expenditure,2006,214707760
United States,State and Local,Highway,Revenue,2006,75409349
United States,State and Local,Highway,Expenditure,2005,198448960
United States,State and Local,Highway,Revenue,2005,66886196
United States,State and Local,Highway,Expenditure,2004,183622384
United States,State and Local,Highway,Revenue,2004,64150228
United States,State and Local,Transit,Expenditure,2020,89760002
United States,State and Local,Transit,Revenue,2020,16503692
United States,State and Local,Transit,Expenditure,2019,81936775
United States,State and Local,Transit,Revenue,2019,17189099
United States,State and Local,Transit,Expenditure,2018,80332586
United States,State and Local,Transit,Revenue,2018,17280332
United States,State and Local,Transit,Expenditure,2017,78504178
United States,State and Local,Transit,Revenue,2017,16844182
United States,State and Local,Transit,Expenditure,2016,72124154
United States,State and Local,Transit,Revenue,2016,16744414
United States,State and Local,Transit,Expenditure,2015,74946758
United States,State and Local,Transit,Revenue,2015,16359110
United States,State and Local,Transit,Expenditure,2014,66442216
United States,State and Local,Transit,Revenue,2014,15813796
United States,State and Local,Transit,Expenditure,2013,68384279
United States,State and Local,Transit,Revenue,2013,14993690
United States,State and Local,Transit,Expenditure,2012,62240386
United States,State and Local,Transit,Revenue,2012,14513651
United States,State and Local,Transit,Expenditure,2011,60567906
United States,State and Local,Transit,Revenue,2011,13736809
United States,State and Local,Transit,Expenditure,2010,60148756
United States,State and Local,Transit,Revenue,2010,13003045
United States,State and Local,Transit,Expenditure,2009,58775679
United States,State and Local,Transit,Revenue,2009,13029261
United States,State and Local,Transit,Expenditure,2008,51892947
United States,State and Local,Transit,Revenue,2008,12151238
United States,State and Local,Transit,Expenditure,2007,48173422
United States,State and Local,Transit,Revenue,2007,11571235
United States,State and Local,Transit,Expenditure,2006,46230776
United States,State and Local,Transit,Revenue,2006,10876566
United States,State and Local,Transit,Expenditure,2005,44202797
United States,State and Local,Transit,Revenue,2005,10146019
United States,State and Local,Transit,Expenditure,2004,44252670
United States,State and Local,Transit,Revenue,2004,9784837
United States,State and Local,Water,Expenditure,2020,6892463
United States,State and Local,Water,Revenue,2020,6409732
United States,State and Local,Water,Expenditure,2019,6963426
United States,State and Local,Water,Revenue,2019,6476715
United States,State and Local,Water,Expenditure,2018,6355430
United States,State and Local,Water,Revenue,2018,5983207
United States,State and Local,Water,Expenditure,2017,6310653
United States,State and Local,Water,Revenue,2017,5759222
United States,State and Local,Water,Expenditure,2016,6042024
United States,State and Local,Water,Revenue,2016,5257423
United States,State and Local,Water,Expenditure,2015,6311613
United States,State and Local,Water,Revenue,2015,5251895
United States,State and Local,Water,Expenditure,2014,6243181
United States,State and Local,Water,Revenue,2014,4829594
United States,State and Local,Water,Expenditure,2013,5375680
United States,State and Local,Water,Revenue,2013,4550835
United States,State and Local,Water,Expenditure,2012,5219708
United States,State and Local,Water,Revenue,2012,4384494
United States,State and Local,Water,Expenditure,2011,5066902
United States,State and Local,Water,Revenue,2011,4160159
United States,State and Local,Water,Expenditure,2010,5263324
United States,State and Local,Water,Revenue,2010,3880871
United States,State and Local,Water,Expenditure,2009,5350489
United States,State and Local,Water,Revenue,2009,4018750
United States,State and Local,Water,Expenditure,2008,4913837
United States,State and Local,Water,Revenue,2008,4133206
United States,State and Local,Water,Expenditure,2007,4758338
United States,State and Local,Water,Revenue,2007,3864136
United States,State and Local,Water,Expenditure,2006,4276448
United States,State and Local,Water,Revenue,2006,3698023
United States,State and Local,Water,Expenditure,2005,3896269
United States,State and Local,Water,Revenue,2005,3393968
United States,State and Local,Water,Expenditure,2004,4046647
United States,State and Local,Water,Revenue,2004,3106806
Alabama,State and Local,Total,Expenditure,2020,52646924
Alabama,State and Local,Total,Revenue,2020,55343113
Alabama,State and Local,Total,Expenditure,2019,50276684
Alabama,State and Local,Total,Revenue,2019,53171724
Alabama,State and Local,Total,Expenditure,2018,48238993
Alabama,State and Local,Total,Revenue,2018,51536325
Alabama,State and Local,Total,Expenditure,2017,46961537
Alabama,State and Local,Total,Revenue,2017,49971701
Alabama,State and Local,Total,Expenditure,2016,47285873
Alabama,State and Local,Total,Revenue,2016,46651306
Alabama,State and Local,Total,Expenditure,2015,47322321
Alabama,State and Local,Total,Revenue,2015,43614708
Alabama,State and Local,Total,Expenditure,2014,46627962
Alabama,State and Local,Total,Revenue,2014,44391144
Alabama,State and Local,Total,Expenditure,2013,46678459
Alabama,State and Local,Total,Revenue,2013,46031370
Alabama,State and Local,Total,Expenditure,2012,44777598
Alabama,State and Local,Total,Revenue,2012,44473033
Alabama,State and Local,Total,Expenditure,2011,42380444
Alabama,State and Local,Total,Revenue,2011,41381661
Alabama,State and Local,Total,Expenditure,2010,42255101
Alabama,State and Local,Total,Revenue,2010,42188979
Alabama,State and Local,Total,Expenditure,2009,41171406
Alabama,State and Local,Total,Revenue,2009,33896509
Alabama,State and Local,Total,Expenditure,2008,37855331
Alabama,State and Local,Total,Revenue,2008,30966318
Alabama,State and Local,Total,Expenditure,2007,35780780
Alabama,State and Local,Total,Revenue,2007,40652798
Alabama,State and Local,Total,Expenditure,2006,33777872
Alabama,State and Local,Total,Revenue,2006,35746030
Alabama,State and Local,Total,Expenditure,2005,31752413
Alabama,State and Local,Total,Revenue,2005,33376997
Alabama,State and Local,Total,Expenditure,2004,31268214
Alabama,State and Local,Total,Revenue,2004,31898043
Alabama,State and Local,Air,Expenditure,2020,220896
Alabama,State and Local,Air,Revenue,2020,130237
Alabama,State and Local,Air,Expenditure,2019,169091
Alabama,State and Local,Air,Revenue,2019,131838
Alabama,State and Local,Air,Expenditure,2018,120654
Alabama,State and Local,Air,Revenue,2018,124520
Alabama,State and Local,Air,Expenditure,2017,137938
Alabama,State and Local,Air,Revenue,2017,121591
Alabama,State and Local,Air,Expenditure,2016,111014
Alabama,State and Local,Air,Revenue,2016,111759
Alabama,State and Local,Air,Expenditure,2015,121337
Alabama,State and Local,Air,Revenue,2015,109911
Alabama,State and Local,Air,Expenditure,2014,164291
Alabama,State and Local,Air,Revenue,2014,108185
Alabama,State and Local,Air,Expenditure,2013,195534
Alabama,State and Local,Air,Revenue,2013,104694
Alabama,State and Local,Air,Expenditure,2012,190036
Alabama,State and Local,Air,Revenue,2012,104107
Alabama,State and Local,Air,Expenditure,2011,187434
Alabama,State and Local,Air,Revenue,2011,99174
Alabama,State and Local,Air,Expenditure,2010,241908
Alabama,State and Local,Air,Revenue,2010,94645
Alabama,State and Local,Air,Expenditure,2009,232744
Alabama,State and Local,Air,Revenue,2009,94737
Alabama,State and Local,Air,Expenditure,2008,146693
Alabama,State and Local,Air,Revenue,2008,91052
Alabama,State and Local,Air,Expenditure,2007,141235
Alabama,State and Local,Air,Revenue,2007,81517
Alabama,State and Local,Air,Expenditure,2006,108866
Alabama,State and Local,Air,Revenue,2006,85735
Alabama,State and Local,Air,Expenditure,2005,117439
Alabama,State and Local,Air,Revenue,2005,76786
Alabama,State and Local,Air,Expenditure,2004,103465
Alabama,State and Local,Air,Revenue,2004,76387
Alabama,State and Local,Highway,Expenditure,2020,4003291
Alabama,State and Local,Highway,Revenue,2020,1172247
Alabama,State and Local,Highway,Expenditure,2019,4045705
Alabama,State and Local,Highway,Revenue,2019,997531
Alabama,State and Local,Highway,Expenditure,2018,4391237
Alabama,State and Local,Highway,Revenue,2018,1013944
Alabama,State and Local,Highway,Expenditure,2017,3713553
Alabama,State and Local,Highway,Revenue,2017,948919
Alabama,State and Local,Highway,Expenditure,2016,3660789
Alabama,State and Local,Highway,Revenue,2016,928747
Alabama,State and Local,Highway,Expenditure,2015,3600401
Alabama,State and Local,Highway,Revenue,2015,894700
Alabama,State and Local,Highway,Expenditure,2014,3417147
Alabama,State and Local,Highway,Revenue,2014,847795
Alabama,State and Local,Highway,Expenditure,2013,3514481
Alabama,State and Local,Highway,Revenue,2013,875572
Alabama,State and Local,Highway,Expenditure,2012,3381490
Alabama,State and Local,Highway,Revenue,2012,865512
Alabama,State and Local,Highway,Expenditure,2011,3336325
Alabama,State and Local,Highway,Revenue,2011,863508
Alabama,State and Local,Highway,Expenditure,2010,3194874
Alabama,State and Local,Highway,Revenue,2010,875559
Alabama,State and Local,Highway,Expenditure,2009,3577298
Alabama,State and Local,Highway,Revenue,2009,863220
Alabama,State and Local,Highway,Expenditure,2008,3021923
Alabama,State and Local,Highway,Revenue,2008,879950
Alabama,State and Local,Highway,Expenditure,2007,3113556
Alabama,State and Local,Highway,Revenue,2007,896611
Alabama,State and Local,Highway,Expenditure,2006,3117224
Alabama,State and Local,Highway,Revenue,2006,908548
Alabama,State and Local,Highway,Expenditure,2005,2891777
Alabama,State and Local,Highway,Revenue,2005,851880
Alabama,State and Local,Highway,Expenditure,2004,2610892
Alabama,State and Local,Highway,Revenue,2004,799551
Alabama,State and Local,Transit,Expenditure,2020,81056
Alabama,State and Local,Transit,Revenue,2020,5183
Alabama,State and Local,Transit,Expenditure,2019,72438
Alabama,State and Local,Transit,Revenue,2019,5358
Alabama,State and Local,Transit,Expenditure,2018,73341
Alabama,State and Local,Transit,Revenue,2018,5499
Alabama,State and Local,Transit,Expenditure,2017,72087
Alabama,State and Local,Transit,Revenue,2017,5229
Alabama,State and Local,Transit,Expenditure,2016,67286
Alabama,State and Local,Transit,Revenue,2016,4543
Alabama,State and Local,Transit,Expenditure,2015,61601
Alabama,State and Local,Transit,Revenue,2015,4855
Alabama,State and Local,Transit,Expenditure,2014,60617
Alabama,State and Local,Transit,Revenue,2014,4659
Alabama,State and Local,Transit,Expenditure,2013,60776
Alabama,State and Local,Transit,Revenue,2013,4554
Alabama,State and Local,Transit,Expenditure,2012,64059
Alabama,State and Local,Transit,Revenue,2012,4041
Alabama,State and Local,Transit,Expenditure,2011,67325
Alabama,State and Local,Transit,Revenue,2011,5611
Alabama,State and Local,Transit,Expenditure,2010,65662
Alabama,State and Local,Transit,Revenue,2010,5771
Alabama,State and Local,Transit,Expenditure,2009,62866
Alabama,State and Local,Transit,Revenue,2009,5852
Alabama,State and Local,Transit,Expenditure,2008,74073
Alabama,State and Local,Transit,Revenue,2008,5181
Alabama,State and Local,Transit,Expenditure,2007,62958
Alabama,State and Local,Transit,Revenue,2007,6815
Alabama,State and Local,Transit,Expenditure,2006,53679
Alabama,State and Local,Transit,Revenue,2006,6169
Alabama,State and Local,Transit,Expenditure,2005,53673
Alabama,State and Local,Transit,Revenue,2005,6840
Alabama,State and Local,Transit,Expenditure,2004,42112
Alabama,State and Local,Transit,Revenue,2004,12956
Alabama,State and Local,Water,Expenditure,2020,159899
Alabama,State and Local,Water,Revenue,2020,139822
Alabama,State and Local,Water,Expenditure,2019,155826
Alabama,State and Local,Water,Revenue,2019,158449
Alabama,State and Local,Water,Expenditure,2018,92201
Alabama,State and Local,Water,Revenue,2018,134936
Alabama,State and Local,Water,Expenditure,2017,91218
Alabama,State and Local,Water,Revenue,2017,125872
Alabama,State and Local,Water,Expenditure,2016,115226
Alabama,State and Local,Water,Revenue,2016,119690
Alabama,State and Local,Water,Expenditure,2015,129975
Alabama,State and Local,Water,Revenue,2015,289772
Alabama,State and Local,Water,Expenditure,2014,175274
Alabama,State and Local,Water,Revenue,2014,162318
Alabama,State and Local,Water,Expenditure,2013,139837
Alabama,State and Local,Water,Revenue,2013,147508
Alabama,State and Local,Water,Expenditure,2012,122808
Alabama,State and Local,Water,Revenue,2012,144686
Alabama,State and Local,Water,Expenditure,2011,112157
Alabama,State and Local,Water,Revenue,2011,121533
Alabama,State and Local,Water,Expenditure,2010,132976
Alabama,State and Local,Water,Revenue,2010,106460
Alabama,State and Local,Water,Expenditure,2009,263871
Alabama,State and Local,Water,Revenue,2009,103420
Alabama,State and Local,Water,Expenditure,2008,176795
Alabama,State and Local,Water,Revenue,2008,125295
Alabama,State and Local,Water,Expenditure,2007,181571
Alabama,State and Local,Water,Revenue,2007,110031
Alabama,State and Local,Water,Expenditure,2006,99926
Alabama,State and Local,Water,Revenue,2006,88473
Alabama,State and Local,Water,Expenditure,2005,69998
Alabama,State and Local,Water,Revenue,2005,87289
Alabama,State and Local,Water,Expenditure,2004,59270
Alabama,State and Local,Water,Revenue,2004,78119
Alaska,State and Local,Total,Expenditure,2020,15076507
Alaska,State and Local,Total,Revenue,2020,14035106
Alaska,State and Local,Total,Expenditure,2019,14934777
Alaska,State and Local,Total,Revenue,2019,13884789
Alaska,State and Local,Total,Expenditure,2018,16461035
Alaska,State and Local,Total,Revenue,2018,13787654
Alaska,State and Local,Total,Expenditure,2017,14939769
Alaska,State and Local,Total,Revenue,2017,14321897
Alaska,State and Local,Total,Expenditure,2016,15839199
Alaska,State and Local,Total,Revenue,2016,11497088
Alaska,State and Local,Total,Expenditure,2015,16856025
Alaska,State and Local,Total,Revenue,2015,11931622
Alaska,State and Local,Total,Expenditure,2014,16465540
Alaska,State and Local,Total,Revenue,2014,16294653
Alaska,State and Local,Total,Expenditure,2013,15488434
Alaska,State and Local,Total,Revenue,2013,17583374
Alaska,State and Local,Total,Expenditure,2012,14635366
Alaska,State and Local,Total,Revenue,2012,18197986
Alaska,State and Local,Total,Expenditure,2011,14580270
Alaska,State and Local,Total,Revenue,2011,18353715
Alaska,State and Local,Total,Expenditure,2010,14450380
Alaska,State and Local,Total,Revenue,2010,15643406
Alaska,State and Local,Total,Expenditure,2009,14546360
Alaska,State and Local,Total,Revenue,2009,12599251
Alaska,State and Local,Total,Expenditure,2008,12903682
Alaska,State and Local,Total,Revenue,2008,19086790
Alaska,State and Local,Total,Expenditure,2007,11658984
Alaska,State and Local,Total,Revenue,2007,15542480
Alaska,State and Local,Total,Expenditure,2006,10797128
Alaska,State and Local,Total,Revenue,2006,13246588
Alaska,State and Local,Total,Expenditure,2005,10026883
Alaska,State and Local,Total,Revenue,2005,11404052
Alaska,State and Local,Total,Expenditure,2004,10016276
Alaska,State and Local,Total,Revenue,2004,11031362
Alaska,State and Local,Air,Expenditure,2020,316311
Alaska,State and Local,Air,Revenue,2020,191591
Alaska,State and Local,Air,Expenditure,2019,398376
Alaska,State and Local,Air,Revenue,2019,198123
Alaska,State and Local,Air,Expenditure,2018,403435
Alaska,State and Local,Air,Revenue,2018,203521
Alaska,State and Local,Air,Expenditure,2017,376461
Alaska,State and Local,Air,Revenue,2017,192599
Alaska,State and Local,Air,Expenditure,2016,296850
Alaska,State and Local,Air,Revenue,2016,160823
Alaska,State and Local,Air,Expenditure,2015,328665
Alaska,State and Local,Air,Revenue,2015,156295
Alaska,State and Local,Air,Expenditure,2014,259941
Alaska,State and Local,Air,Revenue,2014,137689
Alaska,State and Local,Air,Expenditure,2013,309963
Alaska,State and Local,Air,Revenue,2013,116987
Alaska,State and Local,Air,Expenditure,2012,361565
Alaska,State and Local,Air,Revenue,2012,115414
Alaska,State and Local,Air,Expenditure,2011,112708
Alaska,State and Local,Air,Revenue,2011,119670
Alaska,State and Local,Air,Expenditure,2010,100560
Alaska,State and Local,Air,Revenue,2010,114837
Alaska,State and Local,Air,Expenditure,2009,99714
Alaska,State and Local,Air,Revenue,2009,107903
Alaska,State and Local,Air,Expenditure,2008,100309
Alaska,State and Local,Air,Revenue,2008,130896
Alaska,State and Local,Air,Expenditure,2007,98541
Alaska,State and Local,Air,Revenue,2007,123296
Alaska,State and Local,Air,Expenditure,2006,77221
Alaska,State and Local,Air,Revenue,2006,113705
Alaska,State and Local,Air,Expenditure,2005,73418
Alaska,State and Local,Air,Revenue,2005,106897
Alaska,State and Local,Air,Expenditure,2004,271598
Alaska,State and Local,Air,Revenue,2004,85880
Alaska,State and Local,Highway,Expenditure,2020,2171353
Alaska,State and Local,Highway,Revenue,2020,180065
Alaska,State and Local,Highway,Expenditure,2019,2010865
Alaska,State and Local,Highway,Revenue,2019,201943
Alaska,State and Local,Highway,Expenditure,2018,2265047
Alaska,State and Local,Highway,Revenue,2018,189883
Alaska,State and Local,Highway,Expenditure,2017,2131721
Alaska,State and Local,Highway,Revenue,2017,196868
Alaska,State and Local,Highway,Expenditure,2016,2482448
Alaska,State and Local,Highway,Revenue,2016,200821
Alaska,State and Local,Highway,Expenditure,2015,2410166
Alaska,State and Local,Highway,Revenue,2015,180390
Alaska,State and Local,Highway,Expenditure,2014,2392945
Alaska,State and Local,Highway,Revenue,2014,202683
Alaska,State and Local,Highway,Expenditure,2013,2013078
Alaska,State and Local,Highway,Revenue,2013,204969
Alaska,State and Local,Highway,Expenditure,2012,1805566
Alaska,State and Local,Highway,Revenue,2012,190474
Alaska,State and Local,Highway,Expenditure,2011,2568672
Alaska,State and Local,Highway,Revenue,2011,186443
Alaska,State and Local,Highway,Expenditure,2010,2724496
Alaska,State and Local,Highway,Revenue,2010,176091
Alaska,State and Local,Highway,Expenditure,2009,2686385
Alaska,State and Local,Highway,Revenue,2009,150259
Alaska,State and Local,Highway,Expenditure,2008,2363671
Alaska,State and Local,Highway,Revenue,2008,186394
Alaska,State and Local,Highway,Expenditure,2007,2153882
Alaska,State and Local,Highway,Revenue,2007,179476
Alaska,State and Local,Highway,Expenditure,2006,1999602
Alaska,State and Local,Highway,Revenue,2006,181579
Alaska,State and Local,Highway,Expenditure,2005,1884119
Alaska,State and Local,Highway,Revenue,2005,173984
Alaska,State and Local,Highway,Expenditure,2004,1363897
Alaska,State and Local,Highway,Revenue,2004,154587
Alaska,State and Local,Transit,Expenditure,2020,54972
Alaska,State and Local,Transit,Revenue,2020,5396
Alaska,State and Local,Transit,Expenditure,2019,50744
Alaska,State and Local,Transit,Revenue,2019,5743
Alaska,State and Local,Transit,Expenditure,2018,54424
Alaska,State and Local,Transit,Revenue,2018,5939
Alaska,State and Local,Transit,Expenditure,2017,50601
Alaska,State and Local,Transit,Revenue,2017,6487
Alaska,State and Local,Transit,Expenditure,2016,53694
Alaska,State and Local,Transit,Revenue,2016,7242
Alaska,State and Local,Transit,Expenditure,2015,47726
Alaska,State and Local,Transit,Revenue,2015,7718
Alaska,State and Local,Transit,Expenditure,2014,58492
Alaska,State and Local,Transit,Revenue,2014,7831
Alaska,State and Local,Transit,Expenditure,2013,54529
Alaska,State and Local,Transit,Revenue,2013,7775
Alaska,State and Local,Transit,Expenditure,2012,60318
Alaska,State and Local,Transit,Revenue,2012,6863
Alaska,State and Local,Transit,Expenditure,2011,61339
Alaska,State and Local,Transit,Revenue,2011,5890
Alaska,State and Local,Transit,Expenditure,2010,50625
Alaska,State and Local,Transit,Revenue,2010,6424
Alaska,State and Local,Transit,Expenditure,2009,59249
Alaska,State and Local,Transit,Revenue,2009,5487
Alaska,State and Local,Transit,Expenditure,2008,48277
Alaska,State and Local,Transit,Revenue,2008,6142
Alaska,State and Local,Transit,Expenditure,2007,47054
Alaska,State and Local,Transit,Revenue,2007,5260
Alaska,State and Local,Transit,Expenditure,2006,40484
Alaska,State and Local,Transit,Revenue,2006,7395
Alaska,State and Local,Transit,Expenditure,2005,35349
Alaska,State and Local,Transit,Revenue,2005,5007
Alaska,State and Local,Transit,Expenditure,2004,26806
Alaska,State and Local,Transit,Revenue,2004,4588
Alaska,State and Local,Water,Expenditure,2020,185239
Alaska,State and Local,Water,Revenue,2020,85825
Alaska,State and Local,Water,Expenditure,2019,139117
Alaska,State and Local,Water,Revenue,2019,78260
Alaska,State and Local,Water,Expenditure,2018,128089
Alaska,State and Local,Water,Revenue,2018,74852
Alaska,State and Local,Water,Expenditure,2017,148143
Alaska,State and Local,Water,Revenue,2017,80954
Alaska,State and Local,Water,Expenditure,2016,170528
Alaska,State and Local,Water,Revenue,2016,76338
Alaska,State and Local,Water,Expenditure,2015,169256
Alaska,State and Local,Water,Revenue,2015,72226
Alaska,State and Local,Water,Expenditure,2014,153351
Alaska,State and Local,Water,Revenue,2014,69089
Alaska,State and Local,Water,Expenditure,2013,143625
Alaska,State and Local,Water,Revenue,2013,69608
Alaska,State and Local,Water,Expenditure,2012,99593
Alaska,State and Local,Water,Revenue,2012,56975
Alaska,State and Local,Water,Expenditure,2011,110472
Alaska,State and Local,Water,Revenue,2011,57923
Alaska,State and Local,Water,Expenditure,2010,148209
Alaska,State and Local,Water,Revenue,2010,60867
Alaska,State and Local,Water,Expenditure,2009,220919
Alaska,State and Local,Water,Revenue,2009,61512
Alaska,State and Local,Water,Expenditure,2008,115620
Alaska,State and Local,Water,Revenue,2008,56626
Alaska,State and Local,Water,Expenditure,2007,93696
Alaska,State and Local,Water,Revenue,2007,50632
Alaska,State and Local,Water,Expenditure,2006,62977
Alaska,State and Local,Water,Revenue,2006,48340
Alaska,State and Local,Water,Expenditure,2005,51443
Alaska,State and Local,Water,Revenue,2005,42967
Alaska,State and Local,Water,Expenditure,2004,43663
Alaska,State and Local,Water,Revenue,2004,37395
Arizona,State and Local,Total,Expenditure,2020,71488388
Arizona,State and Local,Total,Revenue,2020,73442489
Arizona,State and Local,Total,Expenditure,2019,66574868
Arizona,State and Local,Total,Revenue,2019,71245982
Arizona,State and Local,Total,Expenditure,2018,62755470
Arizona,State and Local,Total,Revenue,2018,68945106
Arizona,State and Local,Total,Expenditure,2017,60084606
Arizona,State and Local,Total,Revenue,2017,66789025
Arizona,State and Local,Total,Expenditure,2016,56101988
Arizona,State and Local,Total,Revenue,2016,59058409
Arizona,State and Local,Total,Expenditure,2015,51738519
Arizona,State and Local,Total,Revenue,2015,56825852
Arizona,State and Local,Total,Expenditure,2014,53732114
Arizona,State and Local,Total,Revenue,2014,59764108
Arizona,State and Local,Total,Expenditure,2013,52177678
Arizona,State and Local,Total,Revenue,2013,57888262
Arizona,State and Local,Total,Expenditure,2012,51103967
Arizona,State and Local,Total,Revenue,2012,51485552
Arizona,State and Local,Total,Expenditure,2011,52572172
Arizona,State and Local,Total,Revenue,2011,58588756
Arizona,State and Local,Total,Expenditure,2010,53431950
Arizona,State and Local,Total,Revenue,2010,54098791
Arizona,State and Local,Total,Expenditure,2009,53906003
Arizona,State and Local,Total,Revenue,2009,42569515
Arizona,State and Local,Total,Expenditure,2008,52383683
Arizona,State and Local,Total,Revenue,2008,47110986
Arizona,State and Local,Total,Expenditure,2007,47132004
Arizona,State and Local,Total,Revenue,2007,51243463
Arizona,State and Local,Total,Expenditure,2006,42818119
Arizona,State and Local,Total,Revenue,2006,46860817
Arizona,State and Local,Total,Expenditure,2005,39457745
Arizona,State and Local,Total,Revenue,2005,41056844
Arizona,State and Local,Total,Expenditure,2004,36076186
Arizona,State and Local,Total,Revenue,2004,38387677
Arizona,State and Local,Air,Expenditure,2020,833000
Arizona,State and Local,Air,Revenue,2020,419478
Arizona,State and Local,Air,Expenditure,2019,769380
Arizona,State and Local,Air,Revenue,2019,470286
Arizona,State and Local,Air,Expenditure,2018,687539
Arizona,State and Local,Air,Revenue,2018,452138
Arizona,State and Local,Air,Expenditure,2017,529059
Arizona,State and Local,Air,Revenue,2017,488679
Arizona,State and Local,Air,Expenditure,2016,519142
Arizona,State and Local,Air,Revenue,2016,482654
Arizona,State and Local,Air,Expenditure,2015,482942
Arizona,State and Local,Air,Revenue,2015,482887
Arizona,State and Local,Air,Expenditure,2014,514780
Arizona,State and Local,Air,Revenue,2014,463213
Arizona,State and Local,Air,Expenditure,2013,521514
Arizona,State and Local,Air,Revenue,2013,442666
Arizona,State and Local,Air,Expenditure,2012,576527
Arizona,State and Local,Air,Revenue,2012,444411
