"Georgia Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",48.19204297,46.48100361,47.02605448,52.2082932,53.4024793,55.7796826,57.89369686,56.75155152,59.41257747,61.91421385,62.02087426,61.50519024,62.35365211,63.39089188,63.854932,66.75713378,63.49225592,62.4831427,57.17599201,59.40167846,61.99320596,59.79856294,57.60802331,59.34548695,58.14567001,62.35939771,59.36886961,63.48200288,62.11720447,60.65758967,54.99106119
"Use of fluorinated gases",0,0,0.047873925,0.209274547,0.511320488,0.810605778,1.175594863,1.554726151,1.823383011,2.100423029,2.360750145,2.607623439,2.707670866,2.774289753,2.848435742,2.886444965,2.941948725,2.989290615,3.023309636,3.130494277,2.159485942,1.727764149,1.964347814,1.667903022,1.672079331,1.589801472,1.486890398,1.381366747,1.327255689,1.27328302,1.217751432
"Fossil fuel combustion: other greenhouse gases",1.451777241000002,1.5359656520000016,1.6899526229999964,1.7507536280000053,1.8596444309999924,1.9164564809999973,1.9841736059999988,2.0411663119999943,2.0709181989999976,1.9451908630000005,1.9384423290000043,1.846754046000001,1.722976458000005,1.6337882369999903,1.5467671660000022,1.3616847289999896,1.3212962400000023,1.135109993999997,1.0501975889999926,1.0518028330000035,1.0669402790000007,1.0197069170000077,0.878784496999998,0.8050407899999996,0.7221470499999967,0.6901293549999963,0.638797088000004,0.5857805069999884,0.5833332250000041,0.5979562369999982,0.5068773949999965
"Other transportation categories",0.258029308,0.230786902,0.235293671,0.239598644,0.250428341,0.246123368,0.238858726,0.252379032,0.264150442,0.266908315,0.262939668,0.240876682,0.238051544,0.220091735,0.222984139,0.221773365,0.216123089,0.223185935,0.207176817,0.18625734,0.373321862,0.354353075,0.305249479,0.329263156,0.323680144,0.369353215,0.325092713,0.324420061,0.286146162,0.275921852,0.259778204
"Gross total",49.901849519,48.247756164,48.999174698999994,54.407920019,56.02387256,58.752868227,61.292324054999995,60.59982301499999,63.571029122,66.22673605700001,66.583006402,66.200444407,67.022350978,68.01906160499999,68.47311904700001,71.227036839,67.97162397400001,66.830729244,61.45667605199999,63.77023291,65.592954043,62.900387081000005,60.756405099999995,62.147693918,60.863576535,65.008681752,61.819649809,65.77357019499998,64.313939546,62.804750779,56.975468221
