"Pennsylvania Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",58.07217705,57.17782512,59.21798367,60.78953137,61.44908244,62.57920963,62.81756279,64.12998785,65.39157322,67.22580263,69.06695738,68.48694586,68.59472311,68.94328824,68.93699698,69.66674232,68.48653496,67.88477696,64.98463831,63.27539114,63.83361349,63.63755384,61.88774452,61.47907096,62.48466692,60.74711793,60.24984268,61.33260822,60.73748331,61.28625194,52.77736132
"Use of fluorinated gases",0,0,0.038440928,0.167433985,0.406718699,0.641309011,0.924604479,1.214030121,1.41348234,1.612666681,1.795405659,1.972937594,2.04598694,2.098282956,2.15938511,2.196034068,2.233664578,2.264096553,2.284143514,2.514531718,2.341863524,2.472164814,1.7507675,1.797016896,1.484778741,1.407373283,1.312060111,1.21383747,1.162425435,1.108336052,1.055604
"Fossil fuel combustion: other greenhouse gases",1.7746273079999995,1.8522976229999983,1.9494965800000017,2.025912887000004,2.0801550979999988,2.1217087349999986,2.1404335160000016,2.164931240999991,2.177847746000012,2.050013630999999,1.9589482350000083,1.826959728999995,1.7155099279999888,1.6380183559999892,1.5148224990000045,1.3339882129999978,1.2844522490000116,1.1253222809999954,1.055887767999991,0.9632208839999947,0.8619637249999954,0.8257523620000029,0.7328042469999971,0.6591836630000003,0.5931928400000004,0.5424644650000019,0.4871492429999975,0.44276686799999965,0.41464285200000006,0.43029248399999886,0.36024964300000306
"Other transportation categories",0.548211383,0.490430576,0.499982234,0.509130301,0.532135,0.522986933,0.507583202,0.536170912,0.561328097,0.567180169,0.558704754,0.511888175,0.505834306,0.467627673,0.473748806,0.471259994,0.459152257,0.474152397,0.440183471,0.395788439,0.368882359,0.355765645,0.33565335,0.346415782,0.353209567,0.370429458,0.33746951,0.310159839,0.296303207,0.285608041,0.248746711
"Gross total",60.395015741,59.520553319,61.705903412000005,63.492008543000004,64.468091237,65.865214309,66.390183987,68.045120124,69.54423140300001,71.45566311099999,73.38001602800001,72.798731358,72.862054284,73.14721722499999,73.08495339500001,73.66802459499999,72.46380404400001,71.74834819099999,68.76485306299999,67.14893218099999,67.40632309799999,67.29123666100001,64.706969617,64.281687301,64.915848068,63.067385136,62.386521544,63.299372397,62.610854804000006,63.110488517,54.441961674000005
