"New York Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",64.40305071,61.30303991,61.08368181,61.31091757,60.79844646,62.45588164,64.34774886,63.10997366,64.79411732,65.08776135,65.57061436,64.97816184,68.51025593,71.12849832,72.73756763,72.47172148,72.04737901,71.93067987,70.38014715,67.64354974,75.11778719,71.93222352,70.7704148,70.36150307,73.58149561,71.97148868,75.34898477,76.82156226,74.92920706,75.61581903,59.10978203
"Use of fluorinated gases",0,0,0.058211642,0.253849987,0.617111686,0.973871319,1.40640923,1.852302365,2.164939736,2.483041882,2.777224266,3.061170854,3.175378349,3.251527918,3.335728277,3.374770853,3.410917514,3.447761138,3.479461578,3.832697093,3.574116767,3.781817049,2.683830113,2.759812644,2.281121195,2.163060109,2.014637355,1.858878062,1.773625329,1.685435344,1.596774819
"Fossil fuel combustion: other greenhouse gases",2.1611413709999994,2.262526129000001,2.369200255999999,2.4644916949999995,2.4963078789999997,2.5473456169999906,2.662907521000008,2.664569800999992,2.671301974000002,2.5240083030000022,2.448840863000015,2.2828548440000134,2.156835593000011,2.070965528000002,1.94443579899999,1.6961968800000022,1.6827283490000013,1.4289909259999973,1.3573225330000014,1.3010112320000076,1.3067892389999969,1.197781971000012,1.0761878379999956,1.0224784499999942,0.9535281249999912,0.8570168040000112,0.7659118249999892,0.7054943420000086,0.6581169520000145,0.6561034509999928,0.5534902270000046
"Other transportation categories",0.444488444,0.397604599,0.405407362,0.412806534,0.431438995,0.424039823,0.411528496,0.43473499,0.455116345,0.459892175,0.452963859,0.415026286,0.410115926,0.379173934,0.384084294,0.382133603,0.372312884,0.38442062,0.356909153,0.320922271,0.394039544,0.350653489,0.320182354,0.335518819,0.372111088,0.375070757,0.36424106,0.333231802,0.324756387,0.294554312,0.251437319
"Gross total",67.008680525,63.963170638,63.91650107,64.442065786,64.34330502,66.40113839899999,68.828594107,68.06158081599999,70.08547537499999,70.55470370999998,71.249643348,70.73721382400001,74.25258579800001,76.8301657,78.401816,77.924822816,77.513337757,77.19185255400001,75.573840414,73.09818033600001,80.39273274,77.262476029,74.85061510499999,74.47931298299999,77.18825601799999,75.36663635000001,78.49377501,79.719166466,77.685705728,78.25191213699999,61.511484395
