"Maryland Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",23.51990777,23.18048292,23.88588098,23.84370821,23.7902094,24.04303486,24.8388204,26.13694076,26.53103575,28.26030977,28.54276421,28.54928365,28.4745897,29.46217118,30.33191497,30.92204187,30.81692759,30.57110306,29.19302315,30.08018454,29.33942372,28.76234837,29.04898595,29.09323087,29.16056591,30.04349312,29.33741401,29.19963467,30.22819661,30.32613498,25.10854952
"Use of fluorinated gases",0,0,0.015706844,0.068686646,0.167924053,0.26654783,0.386774606,0.512041771,0.600736158,0.690957789,0.776239515,0.862180323,0.902679171,0.931963337,0.965130703,0.986430897,1.00470324,1.018777917,1.029573621,1.137554584,1.066486437,1.132657049,0.807351889,0.833181851,0.691768695,0.658968027,0.616302395,0.571896961,0.548324901,0.524336679,0.500070547
"Fossil fuel combustion: other greenhouse gases",0.8355457499999979,0.8722766990000004,0.9106701420000007,0.9524952529999986,0.9762543100000016,0.9917786020000037,1.0155843390000001,1.0104014529999965,1.0292447639999978,0.9628741890000008,0.9290099799999965,0.8894550100000025,0.845224653999999,0.805155211999999,0.7477771949999976,0.6683327959999978,0.6412247000000022,0.5545905369999993,0.510858283000001,0.4921407389999999,0.4844609730000009,0.4594491389999966,0.41113469400000113,0.3721797130000013,0.32649812300000036,0.30717577699999765,0.28395987500000075,0.26049457400000264,0.24455140799999597,0.2500231460000002,0.21145847000000018
"Other transportation categories",0.129552776,0.11589794,0.118184957,0.120337443,0.125785925,0.123633438,0.119933852,0.126727637,0.132646975,0.134059544,0.132041588,0.12094283,0.119530261,0.110516724,0.111996559,0.111391172,0.108498768,0.112063824,0.104059265,0.093565894,0.1728043,0.160091177,0.14771438,0.153431922,0.156929712,0.174082338,0.15793869,0.143611203,0.137153743,0.131772527,0.10917142
"Gross total",24.485006295999998,24.168657559,24.930442923,24.985227551999998,25.060173688,25.42499473,26.361113196999998,27.786111620999996,28.293663647,30.048201291999998,30.380055292999998,30.421861813000003,30.342023786,31.309806452999997,32.156819426999995,32.68819673499999,32.571354297999996,32.256535338000006,30.837514319,31.803445757000002,31.06317543,30.514545735,30.415186913,30.452024356,30.33576244,31.183719262,30.395614970000004,30.175637408,31.158226661999997,31.232267332,25.929249957
