"Hawaii Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",7.647804725,7.00360502,7.156787767,6.642362763,7.162171977,7.101452932,7.081083558,6.945990643,6.798691666,6.801650666,7.162028012,6.990539996,7.400387817,7.813443401,8.22387934,9.093139308,9.373971408,8.673600553,7.395374406,6.832837787,7.702925156,8.036695589,7.989408983,8.315024253,8.460590381,8.50703464,8.621611967,8.998898135,8.934884371,9.146846079,5.928845629
"Use of fluorinated gases",0,0,0.005200498,0.022656245,0.055157166,0.086847092,0.124905812,0.163865378,0.189948218,0.214510116,0.238076658,0.262892279,0.273902958,0.281404446,0.29227466,0.298752562,0.304369906,0.306650955,0.310588949,0.307833095,0.296195681,0.272875746,0.25071434,0.227075782,0.214095045,0.203137754,0.189284437,0.174043112,0.165654443,0.156714939,0.148023428
"Fossil fuel combustion: other greenhouse gases",0.22409583199999972,0.22295452000000004,0.23076207900000067,0.22150149999999957,0.22819075399999988,0.22867114700000002,0.2146386490000003,0.20951359699999994,0.20482724299999955,0.2045785200000001,0.20601020799999947,0.20304201800000055,0.18732015399999913,0.19071939999999987,0.19025430900000018,0.18491957400000203,0.1931947170000008,0.17748750899999877,0.1381720979999992,0.12965402699999995,0.1363990770000001,0.13503869399999857,0.128783694,0.12628154299999927,0.11868332399999915,0.11330637199999849,0.10894413199999953,0.11079027900000149,0.10822474399999926,0.11412314600000073,0.09870797600000092
"Other transportation categories",0.031076523,0.027780528,0.028318649,0.028856771,0.030202075,0.029663953,0.028789506,0.030403871,0.03181644,0.032152766,0.031681909,0.028991301,0.028654975,0.026502489,0.026838815,0.026704285,0.026031633,0.02690608,0.024955389,0.022466577,0.031211053,0.034305252,0.030471136,0.032085501,0.02858771,0.030538401,0.028251384,0.026367959,0.025493511,0.025291715,0.019439643
"Gross total",7.90297708,7.254340068,7.4210689930000004,6.915377279,7.475721972,7.446635124,7.449417524999999,7.3497734889999995,7.225283566999999,7.2528920679999995,7.637796786999999,7.485465594,7.890265904,8.312069736,8.733247124,9.603515729000001,9.897567664,9.184645096999999,7.8690908419999985,7.2927914860000005,8.166730967,8.478915280999999,8.399378152999997,8.700467079,8.821956459999999,8.854017166999999,8.94809192,9.310099485,9.234257069,9.442975879,6.195016676000001
