"Rhode Island Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",3.959514422,3.777845188,3.910875465,3.871573627,3.82877164,3.930130137,4.027466683,4.135884001,4.264244082,4.501642481,4.51670238,4.539581765,4.424383346,4.410524555,4.254130347,4.192005123,4.273824315,4.15579213,4.020773609,4.007104229,4.034819779,3.829744281,3.663901642,3.649524263,3.992875275,3.970531146,3.727507673,3.814943611,3.976351586,3.936643163,3.299090181
"Use of fluorinated gases",0,0,0.003230401,0.014023772,0.033964181,0.053467044,0.077241113,0.101801469,0.119023226,0.136810854,0.153502976,0.16958129,0.176871816,0.181659862,0.186969774,0.188368016,0.189803863,0.190534484,0.191065954,0.209162074,0.194180731,0.204379724,0.144635805,0.1484294,0.122626407,0.116298042,0.108528885,0.100235796,0.096134839,0.091632579,0.087294313
"Fossil fuel combustion: other greenhouse gases",0.15241236000000002,0.1520958969999997,0.16442235999999966,0.15866851599999965,0.15662804700000033,0.15213668100000044,0.15668309700000016,0.15386271300000054,0.17055667499999938,0.163535188,0.15685569600000004,0.13924726499999984,0.1310311259999999,0.1257010999999988,0.11628670899999971,0.0985376209999993,0.09393408100000045,0.08345019800000042,0.07390483899999989,0.07452025400000029,0.07019405900000031,0.06388664800000043,0.05594591400000004,0.05033993100000034,0.04384004000000008,0.04090012799999965,0.03707258400000013,0.03363347300000008,0.030940573000000082,0.029736468999999932,0.02488812100000004
"Other transportation categories",0.029193097,0.026098898,0.026637019,0.027107876,0.028318649,0.027847793,0.027040611,0.02858771,0.029933014,0.030202075,0.029798484,0.027242406,0.026973345,0.024888124,0.02522445,0.02508992,0.024484533,0.025291715,0.023475555,0.021054008,0.023004699,0.021390334,0.018766991,0.019843234,0.021793925,0.022802903,0.019439643,0.018565195,0.018766991,0.017959808,0.015538261
"Gross total",4.141119879,3.9560399829999997,4.105165244999999,4.071373790999999,4.047682517,4.163581655000001,4.288431504000001,4.420135893,4.583756997,4.832190598,4.856859536,4.875652726,4.759259633,4.742773640999999,4.582611279999999,4.50400068,4.582046792,4.455068527,4.309219957,4.311840565000001,4.322199268000001,4.119400987000001,3.883250352,3.8681368280000004,4.181135647,4.150532219,3.8925487850000002,3.967378075,4.1221939889999994,4.075972018999999,3.4268108760000002
