"Iowa Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",17.01086457,16.09551322,16.15311235,16.54729353,17.71141941,18.27341354,19.24055535,19.00930183,19.86282742,19.97498908,19.84315793,19.58647391,20.09711446,20.34077407,20.99328115,21.01721518,21.25450917,21.47181535,20.99515064,20.30221779,20.74323748,20.91772121,20.06576799,20.1549937,21.02267933,20.49375568,21.63520396,20.71599879,21.13524825,21.0157792,19.46803473
"Use of fluorinated gases",0,0,0.014573397,0.063363118,0.153738511,0.242470175,0.349685863,0.460133715,0.53707336,0.61539114,0.687296943,0.756011962,0.783746592,0.80342282,0.827215769,0.840782121,0.855154495,0.866835198,0.877077897,0.724848973,0.836737387,0.723666191,0.768473285,0.632963256,0.535994329,0.508723298,0.473989143,0.437674528,0.417693128,0.397685479,0.377627382
"Other transportation categories",0.217939249,0.194934551,0.198768667,0.202400988,0.211549055,0.207916734,0.201795601,0.21316342,0.223118669,0.225472952,0.222109691,0.203477231,0.201055684,0.185921014,0.188342561,0.187333583,0.182557754,0.188477091,0.175024051,0.157333304,0.140853329,0.136346561,0.121413687,0.12753482,0.133925014,0.141929573,0.139709821,0.123364377,0.117175979,0.113072802,0.103857469
"Fossil fuel combustion: other greenhouse gases",0.4396138080000007,0.45260988999999796,0.4865645559999976,0.5257882860000009,0.5407671379999996,0.5540572210000008,0.5706611379999984,0.5857094180000004,0.592410976,0.5476488629999992,0.5216588340000001,0.502696942,0.4749732299999998,0.44593334500000026,0.4089790640000004,0.3474197189999977,0.3290420110000021,0.2895331179999978,0.2663961509999986,0.24056553199999797,0.23598459899999824,0.22253287599999894,0.19945977699999773,0.17874157099999977,0.1603671690000006,0.13498210899999918,0.12267139200000443,0.10987505800000008,0.09993914000000004,0.10028783999999646,0.07272955200000197
"Gross total",17.668417627,16.743057660999998,16.853018969999997,17.338845922000004,18.617474114,19.277857670000003,20.362697952,20.268308383,21.215430425,21.363502035,21.274223398,21.048660045,21.556889966,21.776051249,22.417818544,22.392750603,22.621263430000003,22.816660756999998,22.313648738999998,21.424965599,21.956812794999998,22.000266837999998,21.155114739,21.094233347,21.852965842,21.279390659999997,22.371574316000004,21.386912753,21.770056497,21.626825321,20.022249133000003
