"Ohio Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",57.16144457,55.44557058,55.96604191,58.29501769,59.82438245,61.42875767,62.60091093,64.23302982,65.76849744,69.05862868,69.51523581,68.30452,68.63639025,69.68804759,69.72137691,69.11752704,67.91669057,67.19355655,64.40017257,59.98920328,58.90627148,57.85427964,56.73774122,56.63464342,59.01965553,59.24330912,59.3559335,60.3597114,61.43444843,59.9432131,54.64606055
"Use of fluorinated gases",0,0,0.057031017,0.247941414,0.601443157,0.947324606,1.365089466,1.794838666,2.092797976,2.39088863,2.666421892,2.936228666,3.047096493,3.12269638,3.207397875,3.251241039,3.291781017,3.323876557,3.347956739,2.755379697,3.164884053,2.724447096,2.884973247,2.36899597,1.99992648,1.893503534,1.76089763,1.624113991,1.54894705,1.472191694,1.39579383
"Fossil fuel combustion: other greenhouse gases",1.8536206430000064,1.9448698229999977,2.038334163000002,2.098794401999996,2.165662270999995,2.2199993009999943,2.262522145999995,2.2465959719999944,2.221121581999995,2.051575747000001,1.989007901000008,1.868356066000004,1.7483166899999958,1.653690357000002,1.551518263999995,1.3379925880000059,1.3050251730000042,1.1439347790000056,1.0594492369999955,1.008124242000001,0.9398919160000005,0.8951487989999976,0.8002957220000013,0.7250271950000027,0.6551353419999941,0.5811835869999982,0.5405373950000012,0.4886513490000013,0.05722250099999826,0.4451332869999973,0.37039867300000395
"Other transportation categories",0.595364288,0.532605856,0.543031962,0.552919947,0.577942601,0.567987352,0.551238317,0.582314839,0.609624511,0.616014705,0.606799372,0.555946881,0.549354891,0.507852262,0.514511517,0.511820909,0.498704195,0.514982374,0.478121044,0.42982463,0.384286089,0.369016889,0.334509841,0.353007771,0.366460811,0.3960575,0.36760432,0.338478488,0.322402105,0.30706564,0.271280553
"Gross total",59.610429501000006,57.923046259,58.604439052000004,61.194673453,63.16943047899999,65.16406892900001,66.77976085899999,68.856779297,70.692041509,74.117107762,74.777464975,73.665051613,73.98115832399999,74.97228658899999,74.994804566,74.218581576,73.01220095500001,72.17635026,69.28569959,64.182531849,63.395333538,61.842892424,60.757520029999995,60.08167435600001,62.041178163,62.11405374099999,62.024972845,62.810955228000005,63.363020086000006,62.167603721,56.683533606000005
