"Washington Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",33.66650214,32.63783327,36.49838103,35.0940741,36.46795068,37.77719672,37.95908578,36.37669406,35.44316336,38.1473696,39.19078191,37.49063245,36.66660387,36.39102988,37.24893377,37.34407983,37.67855622,38.87161982,35.68263126,34.77757723,33.01090235,32.86704439,32.88928672,33.95120977,33.60761908,34.22163144,36.32565731,36.84294778,37.71426056,38.46816015,29.98697812
"Use of fluorinated gases",0,0,0.013708939,0.060439921,0.148462707,0.237166006,0.344659934,0.456218201,0.5341688,0.611559557,0.683119189,0.753357079,0.783451099,0.803060716,0.829597349,0.84710795,0.868925301,0.885791762,0.899083377,0.57382679,0.954383225,0.742882498,0.643135976,0.61698875,0.708618303,0.682523497,0.649807891,0.615217372,0.600439561,0.584788654,0.569240672
"Fossil fuel combustion: other greenhouse gases",1.0669799509999933,1.1291009039999977,1.2731940420000072,1.176477061,1.2208639129999952,1.2742977880000055,1.242635665999991,1.2739208420000026,1.245665944999999,1.1576530310000024,1.1055843439999933,1.0398403720000005,0.9660355819999893,0.9280000440000009,0.8630392350000022,0.7712456570000015,0.7439800739999995,0.6979445609999999,0.6074478010000064,0.6056927939999994,0.5571096440000005,0.5506579290000033,0.5173057479999983,0.4849601890000059,0.429252677000008,0.4396997349999978,0.48182324100000073,0.41390107699999845,0.3742972009999974,0.4013057959999884,0.3433174809999997
"Other transportation categories",0.209329303,0.187266318,0.190898639,0.194396429,0.20320817,0.19971038,0.193791042,0.20475527,0.214306928,0.216593945,0.21329795,0.195472672,0.19311839,0.178589107,0.180876124,0.179934411,0.175293112,0.181077919,0.168095736,0.151144905,0.20980016,0.207378613,0.202064662,0.217602923,0.221638835,0.250495606,0.260652651,0.221638835,0.212221707,0.212019911,0.158275016
"Gross total",34.94281139399999,33.954200492,37.97618265,36.525387511,38.04048547,39.488370894000006,39.74017242199999,38.311588373,37.437305033,40.133176133,41.19278339299999,39.479302573,38.60920894099999,38.300679747,39.122446478,39.142367848,39.46675470699999,40.636434062,37.357258174,36.108241719,34.732195379000004,34.36796343,34.251793106,35.270761632,34.96712889500001,35.594350278,37.717941093,38.093705064000005,38.901219028999996,39.66627451099999,31.057811289
