"Kentucky Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",24.75942299,23.58742735,25.76190387,26.6153443,26.7322504,27.10735182,25.8018895,28.55254078,28.9008377,29.87396563,30.39685187,30.51529636,31.41824447,31.30347579,32.3926611,31.21506313,30.73614155,31.29227038,29.29882736,29.44653395,29.64448371,28.99342612,28.34246853,27.68471393,28.81191744,28.82741908,29.05446608,29.67935096,30.97033662,31.19438163,29.44062099
"Use of fluorinated gases",0,0,0.021467896,0.093186831,0.225352417,0.354252006,0.509421821,0.668037619,0.776596125,0.886253128,0.987714342,1.084363467,1.121879773,1.147497527,1.17619911,1.190809572,1.205674826,1.212488495,1.21589811,1.443713836,1.285118481,1.369744249,0.999246065,0.930951835,0.958523313,0.902689611,0.836535784,0.770937194,0.734224955,0.696367161,0.658750411
"Fossil fuel combustion: other greenhouse gases",0.6845479609999998,0.7358974449999991,0.8170747189999972,0.8617480670000006,0.8770795769999999,0.9062667120000008,0.9312205790000014,0.9595358499999982,0.9843538729999999,0.9062316399999979,0.8640785080000022,0.7999119779999972,0.7515674550000035,0.7062390399999998,0.6543962030000046,0.572072679999998,0.5477751490000031,0.5017336029999981,0.46028788799999987,0.44435915600000087,0.4302595690000004,0.4153270240000033,0.369393144,0.3378110149999962,0.31437118800000263,0.29028076300000194,0.26771565599999647,0.25075379999999825,0.24140629899999766,0.2465954210000021,0.20949251000000046
"Other transportation categories",0.216459415,0.193656512,0.197423363,0.200988419,0.210069221,0.206504165,0.200383032,0.211683585,0.221638835,0.223925852,0.220562592,0.202064662,0.19971038,0.184642975,0.187064522,0.186055544,0.181279715,0.187199053,0.173813278,0.15625706,0.191907617,0.18316314,0.165001536,0.170248222,0.177378333,0.191369495,0.180943389,0.166817697,0.162512724,0.150741314,0.136951948
"Gross total",25.660430366,24.516981307,26.797869847999998,27.771267617000003,28.044751615000003,28.574374703,27.442914932000004,30.391797834,30.883426533,31.89037625,32.469207312,32.60163646699999,33.49140207800001,33.341855332,34.410320935,33.164000926,32.670871240000004,33.193691531,31.148826636000003,31.490864002000002,31.551769377,30.961660533000003,29.876109275,29.123725001999997,30.262190274,30.211758949,30.339660908999996,30.867859650999996,32.108480598,32.288085526,30.445815859
