"District of Columbia Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",1.760850469,1.752590178,1.765228654,1.831338338,1.748487734,1.739237516,1.680855538,1.735196012,1.685917928,1.744640004,1.773165734,1.638121898,1.556235135,1.483446835,1.510883883,1.443162097,1.31768357,1.30375932,1.152248823,1.177589315,1.131197988,1.179159652,1.040635926,1.052559477,1.159497404,1.124615354,1.196261062,0.985411652,1.846907174,1.214610246,0.916318868
"Use of fluorinated gases",0,0,0.00190639,0.008224083,0.01969863,0.030519633,0.043306239,0.056367279,0.065242857,0.074981909,0.083607958,0.092158981,0.095099411,0.09639685,0.098785513,0.100036223,0.10188869,0.103511035,0.10508344,0.117564758,0.111513065,0.120299118,0.087165554,0.091620099,0.077022626,0.074497536,0.070543324,0.066132227,0.063901284,0.061332097,0.058862276
"Fossil fuel combustion: other greenhouse gases",0.06773071900000005,0.07086654400000003,0.07563249800000005,0.07624942099999998,0.07437243999999987,0.07591213200000002,0.0724358089999999,0.07092381299999984,0.06997531999999995,0.06725239499999991,0.06424688100000009,0.06174349199999973,0.05475415100000003,0.0594848429999999,0.049788404999999925,0.04243256899999981,0.039439891999999865,0.035435380000000016,0.03314218399999991,0.03249304799999986,0.03241942000000009,0.03141050000000001,0.028291322999999924,0.02584910600000012,0.022984040999999955,0.021715643000000284,0.020222548999999868,0.018482255999999975,0.016662200999999932,0.017333979,0.014712676000000147
"Other transportation categories",0.022466577,0.020112295,0.020515886,0.020852212,0.021793925,0.021457599,0.020784947,0.021995721,0.023004699,0.023273759,0.022870168,0.020986743,0.020717682,0.019170582,0.019439643,0.019305112,0.018834256,0.019439643,0.018027074,0.016210913,0.005583012,0.005448481,0.004641299,0.004708564,0.005246686,0.005650277,0.005515746,0.004103177,0.004304973,0.004708564,0.003766851
"Gross total",1.8510477650000001,1.8435690169999999,1.8632834280000001,1.936664054,1.864352729,1.86712688,1.8173825330000002,1.8844828249999999,1.844140804,1.910148067,1.9438907410000001,1.8130111139999998,1.7268063790000001,1.6584991100000002,1.6788974439999997,1.604936001,1.477846408,1.4621453779999998,1.308501521,1.3438580340000001,1.2807134850000002,1.336317751,1.160734102,1.174737246,1.2647507569999998,1.2264788100000001,1.2925426809999998,1.074129312,1.931775632,1.2979848859999998,0.9936606710000001
