"West Virginia Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",9.861320376,9.600002431,10.65830555,10.87395981,11.46512909,11.5954033,10.62850357,11.85916766,12.00589367,12.06436622,12.25173609,12.0453706,12.02113496,11.27394075,11.61482476,11.53203218,11.46201058,11.43523988,10.51040178,11.11988245,11.41171904,11.01486162,11.57516216,11.07838769,11.29006636,11.91265298,10.6698828,11.6677302,13.35859099,13.41604086,11.35276364
"Use of fluorinated gases",0,0,0.005763056,0.025109301,0.060857818,0.095877734,0.137914276,0.180609386,0.209570472,0.238248071,0.264106972,0.288984329,0.299557552,0.307298004,0.316048427,0.321113708,0.326353179,0.330507134,0.333288706,0.366806737,0.34161725,0.360070393,0.254673409,0.260811419,0.214790597,0.2028373,0.188002571,0.172539348,0.16389009,0.155463153,0.147382528
"Fossil fuel combustion: other greenhouse gases",0.30293324700000035,0.32314077100000027,0.34036009399999934,0.3547432179999994,0.36342094900000177,0.36936779100000017,0.37331386199999983,0.382394853000001,0.38064051300000123,0.3571489339999996,0.3411412069999997,0.33207317000000103,0.3120052040000001,0.2925774410000006,0.2684345050000019,0.23607853400000067,0.2295932890000021,0.1972373850000011,0.18756825999999904,0.16913567699999987,0.15666902500000113,0.14732867899999924,0.13274360499999993,0.1194479260000012,0.10454011899999927,0.09606286699999877,0.0840454519999998,0.07668495000000064,0.06942893199999922,0.06926680899999837,0.057540276000001
"Other transportation categories",0.104462856,0.093431363,0.095314789,0.096996419,0.101435922,0.099687027,0.096727358,0.102175839,0.106951669,0.108095177,0.106480812,0.09753454,0.096391032,0.08912639,0.090269899,0.089799042,0.087512026,0.090337164,0.083879705,0.07540429,0.069014096,0.063834675,0.059058846,0.059866028,0.060000559,0.069484952,0.07876755,0.066525283,0.074933433,0.063363819,0.054215751
"Gross total",10.268716479,10.016574565,11.099743488999998,11.350808748,11.990843779000002,12.160335852,11.236459066,12.524347738000001,12.703056324000002,12.767858401999998,12.963465080999999,12.763962639,12.729088747999999,11.962942585,12.289577591000002,12.179023464,12.105469074000002,12.053321562999999,11.115138450999998,11.731229154,11.979019411000001,11.586095366999999,12.02163802,11.518513063,11.669397635000001,12.281038099,11.020698373,11.983479781000002,13.666843445,13.704134640999998,11.611902194999999
