"Nebraska Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",10.04107523,9.616535907,10.16357856,10.19485578,10.57095181,11.24475806,11.77327879,11.50029553,12.08209176,12.426449,12.24344452,12.06292655,12.3773356,12.49244926,12.39064004,12.14121384,12.09433152,12.51606304,12.25193603,11.61998011,12.26909021,12.06879309,11.9370943,12.01228923,12.58755801,12.42545912,12.66185252,12.70150715,13.08454873,13.0237823,12.16744174
"Use of fluorinated gases",0,0,0.008333716,0.03630718,0.088392204,0.140118199,0.203223339,0.268400498,0.313750519,0.35957103,0.402142815,0.44345768,0.461634268,0.474801474,0.489940853,0.499597964,0.508249186,0.515451581,0.522274565,0.433227079,0.501795483,0.434400478,0.462978302,0.381711662,0.323934704,0.308253597,0.288411004,0.266886828,0.255332909,0.24324484,0.23128136
"Other transportation categories",0.145292833,0.129956367,0.132512445,0.134933992,0.141055125,0.138633578,0.134530401,0.142131368,0.148790623,0.150337723,0.148050706,0.135673909,0.134059544,0.123902499,0.125584129,0.124911477,0.121682747,0.125651394,0.116637857,0.104866447,0.099956088,0.091278877,0.082736196,0.085292274,0.089260921,0.096861888,0.091749733,0.084014235,0.081659953,0.079843793,0.073184538
"Fossil fuel combustion: other greenhouse gases",0.2733468089999995,0.2825836800000019,0.30819857000000006,0.3164807560000007,0.3322539950000003,0.34344200399999814,0.35845484899999924,0.37478035200000015,0.37003968099999973,0.35721764400000033,0.32644448699999984,0.3034479579999996,0.28869062699999937,0.26991631799999993,0.2435161810000004,0.21005724699999995,0.19773095200000057,0.17243301399999922,0.16132916300000133,0.1545792549999998,0.1684504130000004,0.15242293600000067,0.13349724300000076,0.11853862999999976,0.11026398499999956,0.09029745100000142,0.0816932959999992,0.07466027699999955,0.07472270300000083,0.07548598300000009,0.055633932000000996
"Gross total",10.459714872,10.029075954000001,10.612623290999998,10.682577708,11.132653134,11.866951840999999,12.469487378999998,12.285607748,12.914672583,13.293575397,13.120082528,12.945506096999999,13.261720038999998,13.361069551,13.249681203,12.975780528,12.921994405000001,13.329599029,13.052177615000002,12.312652890999999,13.039292194000002,12.746895381000002,12.616306041000001,12.597831796000001,13.11101762,12.920872056,13.123706553,13.12706849,13.496264295000001,13.422356916,12.52754157
