"Mississippi Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",18.9963547,19.43557877,20.96373232,20.94203958,21.18095154,21.95175254,22.58704034,22.99373219,23.84074048,25.59872612,24.33705338,23.38105602,23.58034803,25.05323571,23.73321903,23.49035452,24.22805166,23.57521842,22.91739663,21.40200354,20.94203015,20.53433214,22.16781907,20.1359863,21.02383394,21.4547361,22.42042876,22.02713218,22.53271488,22.79469404,21.91301799
"Use of fluorinated gases",0,0,0.014958575,0.064902147,0.157432318,0.24810946,0.357168507,0.469330099,0.546552085,0.623855742,0.694824529,0.760467572,0.784155113,0.799427987,0.819577476,0.827310109,0.830116247,0.834123626,0.835509016,0.989471795,0.877917407,0.933617095,0.679681077,0.631598701,0.649264982,0.609431852,0.563416065,0.517467232,0.490584738,0.46372529,0.436511488
"Fossil fuel combustion: other greenhouse gases",0.5080468610000004,0.550401143000002,0.598629264000003,0.6227825510000002,0.6611975550000011,0.6761915689999967,0.6880915539999997,0.6981092310000037,0.7421125550000021,0.6988566170000006,0.6762971489999998,0.647123006000001,0.600460763000001,0.5847721450000023,0.5531217050000024,0.5024275749999987,0.48359840700000234,0.43880974100000003,0.4158130840000034,0.37029227400000053,0.32818632999999764,0.30839738100000247,0.27131407199999913,0.24143267700000237,0.21540941499999988,0.198858757,0.18369740800000045,0.16471651000000165,0.1484394980000019,0.1526168260000027,0.12652744000000027
"Other transportation categories",0.131436201,0.11757957,0.119866587,0.122086339,0.127602085,0.125382333,0.121682747,0.128543798,0.134597666,0.136010235,0.133925014,0.122691725,0.121279156,0.112131089,0.113610923,0.113005537,0.110113133,0.113678189,0.105539099,0.094911198,0.143274877,0.133521423,0.127063963,0.127333024,0.132041588,0.153499187,0.14926148,0.134664931,0.126458577,0.123633438,0.115494349
"Gross total",19.635837762,20.103559483,21.697186746000003,21.751810617,22.127183498,23.001435901999997,23.753983148000003,24.289715318000002,25.264002786000002,27.057448714,25.842100072,24.911338323,25.086243062,26.549566931,25.219529134000002,24.933097740999997,25.651879447,24.961829976,24.274257829000003,22.856678806999998,22.291408763999996,21.909868039000003,23.245878182000002,21.136350702,22.020549925,22.416525896000003,23.316803713,22.843980853,23.298197693000002,23.534669594,22.591551267
