"Illinois Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",53.20120408,51.94409446,53.95777,55.90812922,55.48354821,57.91644219,59.37686283,63.67880815,59.26900787,65.63566856,67.08428022,65.02656262,65.22989123,65.89975726,68.09680143,73.48554686,70.04731053,69.90796383,65.87963209,63.62931606,63.34442972,62.55052227,60.64802888,61.1361802,62.76542889,67.81816173,64.32848627,64.57371015,64.79809433,62.68464614,51.94021978
"Use of fluorinated gases",0,0,0.060468324,0.263764236,0.642436429,1.015454852,1.469408772,1.939407652,2.270469419,2.606780496,2.917639252,3.220130787,3.345630183,3.428886874,3.525980278,3.576436332,3.625151023,3.669371662,3.706042789,3.058400586,3.521731073,3.036410763,3.217668368,2.63824341,2.220227856,2.095079134,1.939656409,1.77923248,1.687359432,1.594345834,1.502546024
"Fossil fuel combustion: other greenhouse gases",1.6667985730000083,1.7692538760000005,1.8672179810000031,1.9507865570000007,2.0273524300000005,2.078012318000006,2.131767112999995,2.152215085999991,2.1428516799999997,2.016394009999999,1.9356017089999966,1.797663247999992,1.6859362049999902,1.5997674600000096,1.5033602820000027,1.360909694,1.2587655170000005,1.1217780950000105,1.0450133410000007,0.9902936560000128,0.9562357820000003,0.8900846199999961,0.8079960629999974,0.7432485640000053,0.6792988130000026,0.624037174999998,0.5831122020000095,0.5436799850000114,0.5095506429999972,0.517226989000001,0.4308966130000016
"Other transportation categories",0.632427414,0.5657676,0.576866358,0.587359729,0.613929483,0.603368847,0.585610834,0.618570782,0.647562084,0.654355869,0.64453515,0.590521194,0.583592878,0.539466907,0.546529753,0.543704614,0.529713453,0.547067874,0.507852262,0.45659618,0.358927109,0.350249898,0.311505143,0.33087752,0.344599621,0.396124765,0.364106529,0.338478488,0.320384149,0.290989257,0.252580827
"Gross total",55.500430067,54.279115936000004,56.462322662999995,58.710039742,58.767266552,61.613278207,63.563649549,68.38900167,64.329891053,70.913198935,72.58205633099999,70.634877849,70.845050496,71.46787850100002,73.67267174300001,78.9665975,75.460940523,75.24618146100002,71.138540482,68.13460648200002,68.181323684,66.827267551,64.985198454,64.84854969400001,66.00955518,70.933402804,67.21536141,67.23510110300002,67.315388554,65.08720822000001,54.126243244
