"Alaska Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",8.436648511,7.302157076,7.045501936,8.036969207,7.686302195,8.638030441,8.943821101,9.447336451,10.00621862,11.00427149,11.63050243,11.21135196,11.36681187,11.61847629,14.31838905,14.60061404,14.47979358,13.65997401,12.0791263,10.82285223,10.19842511,8.745986582,8.326929293,7.488231903,8.248729882,7.802456448,7.49579562,7.740937252,7.238278467,7.479026005,7.890220684
"Use of fluorinated gases",0,0,0.002642574,0.011579501,0.028021685,0.043857834,0.063147239,0.082899403,0.096899096,0.110734046,0.12319818,0.135893625,0.141929783,0.145838628,0.151301258,0.154132712,0.156934215,0.158560925,0.160271613,0.15975369,0.155042349,0.142879785,0.131325027,0.118891528,0.11149594,0.105413294,0.098368931,0.09045191,0.085745813,0.081213147,0.076921146
"Fossil fuel combustion: other greenhouse gases",0.14413348299999917,0.14687398899999948,0.13787360400000015,0.14071031900000008,0.14844289700000068,0.1521479009999993,0.15465987000000148,0.1702934900000006,0.17081748600000068,0.17835634299999903,0.182337286000001,0.1707724439999989,0.1705832160000007,0.1744557069999999,0.18223607999999913,0.17914035300000108,0.18669954499999974,0.16205796999999755,0.13530648299999903,0.1159163000000003,0.11339656200000015,0.10372538299999867,0.09453825600000165,0.08798345099999949,0.0836301620000004,0.08609025199999909,0.0824769879999998,0.08142700899999955,0.08099409300000016,0.0823356990000006,0.07213269899999997
"Other transportation categories",0.039350142,0.0351797,0.035852352,0.036525004,0.038139369,0.037533982,0.036390473,0.038475695,0.040291855,0.040695446,0.040090059,0.036726799,0.036255943,0.033565335,0.033968926,0.033834396,0.032959948,0.034036191,0.031547379,0.028385915,0.041435363,0.040829977,0.032287296,0.031211053,0.034372517,0.037803043,0.03181644,0.031278318,0.033161744,0.036525004,0.034103457
"Gross total",8.620132135999999,7.484210764999999,7.221870466,8.225784031,7.900906146,8.871570157999999,9.198018683,9.739005039000002,10.314227057,11.334057325,11.976127955,11.554744827999999,11.715580812,11.97233596,14.685895314,14.967721501,14.856387288,14.014629095999998,12.406251775,11.126908135,10.508299384,9.033421726999999,8.585079872000001,7.726317934999999,8.478228500999998,8.031763037,7.708457979,7.944094488999999,7.438180117,7.679099855,8.073377986
