"Missouri Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",33.42688604,33.27601826,34.76093264,35.56708926,36.72123752,37.32487715,38.44175481,39.53723368,39.91988728,39.36230966,39.70688185,39.16570447,40.55844067,41.59633264,40.52806527,41.02510501,41.02035545,41.23338513,39.29168539,37.61409286,38.18867578,37.29026524,36.42067641,35.83854517,37.33630716,36.82931889,37.79874787,37.69026197,38.35344582,38.00706197,34.51322932
"Use of fluorinated gases",0,0,0.026976603,0.117730484,0.287145976,0.454794159,0.659492117,0.872354855,1.021606492,1.173133272,1.315732908,1.454561799,1.515770302,1.559165949,1.609752726,1.642252069,1.675162905,1.701643403,1.722304913,1.424686357,1.644526221,1.418458621,1.505061928,1.236286474,1.044047587,0.989803856,0.921499,0.850834147,0.812337614,0.772876577,0.734296878
"Fossil fuel combustion: other greenhouse gases",1.027475146999997,1.0646815390000057,1.1413932179999975,1.1892373009999915,1.255797690999998,1.3056527229999944,1.3401200590000002,1.3618790929999989,1.3802277680000046,1.313212442000001,1.221125514999997,1.1613074170000033,1.0889237549999962,1.014744988000004,0.9163819650000065,0.8007141890000042,0.7628462540000029,0.6750505640000029,0.6289694920000031,0.5940885199999997,0.5905909790000052,0.5482791010000057,0.4866835450000053,0.44770926599999683,0.4093744159999986,0.36161673799999505,0.3353946140000019,0.3074781050000013,0.29069838400000236,0.3103816279999947,0.25753580100000306
"Other transportation categories",0.389398245,0.348366473,0.355160258,0.361684982,0.378030426,0.371505701,0.360541474,0.380922829,0.398748108,0.40291855,0.396864682,0.363635673,0.3593307,0.332222824,0.336527797,0.334778902,0.326168956,0.336864123,0.312715916,0.281168537,0.24861218,0.23489008,0.211279994,0.220697122,0.229508864,0.250428341,0.23825334,0.216055823,0.204015353,0.197087037,0.181279715
"Gross total",34.843759432,34.689066272000005,36.284462719,37.23574202699999,38.642211613,39.45682973299999,40.80190846,42.152390456999996,42.720469648000005,42.251573924000006,42.640604955,42.145209359,43.522465427,44.502466401,43.390727758000004,43.80285017,43.784533565,43.94694322,41.955675711000005,39.914036274,40.672405160000004,39.491893042,38.62370187700001,37.743238031999994,39.019238027,38.431167825,39.293894824,39.064630045,39.660497171,39.287407212,35.68634171400001
