"Colorado Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",18.30698193,18.20976692,18.93285391,20.40952614,20.76368846,21.44058332,22.09735128,22.38979666,23.71703505,25.64286285,25.93548928,27.07441306,27.01482371,25.60716995,28.47187086,28.95803305,29.27852323,29.62579661,28.63651152,27.04810193,27.10801879,26.73084656,26.49453911,26.47757243,27.95687299,27.71583578,28.62416305,29.01140703,29.86799712,30.25278925,25.50569435
"Use of fluorinated gases",0,0,0.012006289,0.052626893,0.127627444,0.201176188,0.290102897,0.382014286,0.446873004,0.51504175,0.577552691,0.640463891,0.664642235,0.678451852,0.693093941,0.698363984,0.705329349,0.714312179,0.723400164,0.771699515,0.561597037,0.219229305,0.728276564,0.629802617,0.641002822,0.613272657,0.575092717,0.534277685,0.513201676,0.489758124,0.46605735
"Fossil fuel combustion: other greenhouse gases",0.5635703959999994,0.5919459050000029,0.6730190530000009,0.7331100980000009,0.7572016609999999,0.7891594210000008,0.8083937499999969,0.8218125570000012,0.8345916029999998,0.7978835129999986,0.7754673880000027,0.7492105239999987,0.7001355869999983,0.6482061100000003,0.6473454000000025,0.5866541689999991,0.5749425419999987,0.5101290760000019,0.4741949130000016,0.43802530699999664,0.4249992710000008,0.40251696400000014,0.3662941239999995,0.3359579520000011,0.31272150499999896,0.28102307500000023,0.26431574999999796,0.24509882999999988,0.23431506600000418,0.24240441800000312,0.19998698599999898
"Other transportation categories",0.168095736,0.150404988,0.153364657,0.15612253,0.163185376,0.160427503,0.155651674,0.164463415,0.172131648,0.173947808,0.171324465,0.156996978,0.155113552,0.143409407,0.145292833,0.144552916,0.140853329,0.145427363,0.135001257,0.121413687,0.150068662,0.141458716,0.131907058,0.136750152,0.145158302,0.155853469,0.14757985,0.135741174,0.133252362,0.129149185,0.113274597
"Gross total",19.038648062,18.952117813,19.771243909,21.351385661000002,21.811702941000004,22.591346432,23.351499601,23.758086918,25.170631305,27.129735921,27.459833824000004,28.621084452999998,28.534715084,27.077237318999998,29.957603034,30.387604119,30.699648449999998,30.995665228,29.969107854,28.379240439,28.244683759999997,27.494051544999998,27.721016856000002,27.580083151,29.055755619,28.765984981,29.611151366999998,29.926524719,30.748766224000004,31.114100977000003,26.285013282999998
