"Nevada Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",9.286948374,9.526258692,9.810205394,10.2539365,10.68843085,11.06191638,12.25301047,12.39527809,12.98137881,13.84431806,14.22028995,14.23100145,14.5436704,15.12789284,15.86512627,16.8062139,17.27203751,17.30732297,15.541037,14.08166795,16.13490948,15.75992509,15.80737078,15.96332333,16.02748625,16.19825361,16.94252154,17.68655721,17.671478,17.7321672,15.02675879
"Use of fluorinated gases",0,0,0.004641072,0.020551557,0.051381025,0.083147292,0.123318294,0.167711247,0.201169213,0.235791836,0.269459345,0.303670094,0.321751153,0.336901465,0.355442105,0.366701672,0.376937559,0.386766957,0.392585353,0.416668027,0.30068246,0.116127628,0.38486902,0.33181733,0.337580391,0.322531324,0.302861123,0.282678671,0.273008747,0.262869477,0.251838746
"Fossil fuel combustion: other greenhouse gases",0.22220272000000207,0.23551554899999871,0.24763092100000073,0.27021717100000053,0.3030463060000006,0.32506399200000047,0.3287173570000004,0.36659689999999934,0.3729588529999983,0.360025692999999,0.35170550099999964,0.33609388700000054,0.30715672100000013,0.3068901660000005,0.2831820340000011,0.26570107400000254,0.2699346130000002,0.24663367799999847,0.21263699300000027,0.19265958999999988,0.22395110900000148,0.23064549599999928,0.20912236100000214,0.19720695400000032,0.18104214300000265,0.16938310300000126,0.16180747299999965,0.1518575250000005,0.1475292570000022,0.14974153200000373,0.12668374999999976
"Other transportation categories",0.034843374,0.031143788,0.031749175,0.032354561,0.033834396,0.033229009,0.032220031,0.034036191,0.035650556,0.036054147,0.035516026,0.032489092,0.032152766,0.029731219,0.030067545,0.029933014,0.029193097,0.03013481,0.027982323,0.025157185,0.078633019,0.073453599,0.0672652,0.072444621,0.07217556,0.079238406,0.07735498,0.074866168,0.071502908,0.070090339,0.06222031
"Gross total",9.543994468000001,9.792918028999999,10.094226562000001,10.577059789,11.076692577,11.503356672999999,12.737266152,12.963622427999999,13.591157432,14.476189736,14.876970821999999,14.903254523000001,15.204731039999999,15.80141569,16.533817954,17.468549660000004,17.948102779000003,17.970858415,16.174241669,14.716152752,16.738176068000005,16.180151813,16.468627361000003,16.564792235000002,16.618284344000003,16.769406443,17.484545116,18.195959574,18.163518912,18.214868548000002,15.467501596000002
