"South Dakota Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",4.833845362,4.638429475,5.203899936,5.282363506,5.725791558,5.7760797,5.834719469,5.650954196,5.872787134,6.022354404,6.097061216,5.936754051,6.162210422,6.153834721,6.156838212,6.219913583,6.155425079,6.455724771,6.135654906,6.187906745,6.381873953,6.385451048,6.673953595,6.393680809,6.739266466,6.731724826,6.810786415,6.825236647,6.876250098,6.712535524,6.596110544
"Use of fluorinated gases",0,0,0.003685754,0.016129256,0.039410935,0.062400254,0.090118539,0.118446212,0.138031535,0.15827787,0.177356568,0.195442185,0.203004629,0.208564757,0.215762516,0.219946287,0.224503558,0.228795657,0.232335366,0.192887162,0.223854381,0.194377928,0.208264821,0.172411643,0.146406483,0.1392414,0.130658687,0.121642048,0.116611159,0.111659062,0.106561683
"Other transportation categories",0.065179979,0.058318929,0.059395172,0.06053868,0.063229288,0.062153045,0.060336885,0.063700145,0.066727079,0.067399731,0.066390753,0.060807741,0.060135089,0.055561055,0.056300973,0.056031912,0.054552077,0.056368238,0.052332326,0.047018375,0.042915198,0.040560916,0.039955529,0.039820999,0.042175281,0.046412988,0.042915198,0.039081081,0.037937573,0.035986882,0.034776109
"Fossil fuel combustion: other greenhouse gases",0.136193789,0.12743639400000095,0.14825801199999944,0.15412129599999957,0.16028567999999943,0.16285774499999928,0.16413264000000005,0.16310441800000053,0.16377412599999985,0.15411046799999983,0.15011525400000014,0.14560889499999963,0.1333275140000003,0.12201155600000035,0.11298238499999957,0.09241427200000008,0.09496408800000022,0.08350243700000082,0.07885715799999993,0.07497245799999952,0.06812791799999918,0.06488777499999987,0.05943285499999984,0.05152000199999929,0.047428570000000114,0.039320011000000044,0.036634168000000855,0.032861185999999876,0.03069133900000054,0.032189070000000264,0.023955186999999434
"Gross total",5.03521913,4.824184798000001,5.415238874,5.513152738,5.988717460999999,6.063490743999999,6.149307533,5.996204971000001,6.241319873999999,6.402142473,6.490923791000001,6.338612872,6.558677654,6.539972089000001,6.541884086,6.588306054,6.529444802,6.824391103000001,6.499179756,6.50278474,6.7167714499999995,6.685277667,6.981606800000001,6.6574334529999994,6.9752768,6.956699225,7.020994468000001,7.0188209619999995,7.061490169,6.892370538000001,6.761403522999999
