"Delaware Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",4.153620502,4.317607757,4.260190358,4.293670927,4.194457046,4.063190688,4.146142176,4.04914499,4.129925543,4.277755866,4.271918809,4.225926811,4.529251393,4.467503418,4.516257721,4.762380411,4.796503438,4.802331871,4.433244734,4.366811129,5.010082316,4.657181797,4.528919724,4.338041924,4.436842819,4.659942398,5.418381824,5.156202462,5.442254582,5.656273339,4.774932376
"Use of fluorinated gases",0,0,0.002216994,0.009758612,0.02398798,0.038364447,0.056062573,0.074610871,0.088109541,0.101909689,0.114933137,0.127641947,0.133761017,0.138702965,0.144554332,0.149074673,0.153412661,0.157094381,0.160073695,0.177019697,0.165744882,0.176018115,0.125526174,0.129938581,0.108306021,0.103663323,0.097466145,0.090880427,0.087753811,0.084575846,0.081487822
"Fossil fuel combustion: other greenhouse gases",0.14241794399999996,0.15589933800000022,0.15867800400000043,0.16280409599999945,0.1649432390000003,0.17249011600000053,0.18313412899999992,0.1869313729999993,0.18453717900000033,0.1788531080000002,0.16332586399999993,0.15791013499999984,0.14929155600000055,0.14236263600000054,0.13231519400000025,0.11955533999999979,0.11509512499999985,0.10060365300000029,0.09165329799999977,0.08754825200000038,0.07970888099999929,0.07364063500000029,0.068801412,0.06106936600000079,0.056966512999999885,0.05291064700000003,0.05027558799999987,0.06620035200000007,0.04317256599999997,0.044090218000000014,0.03696432000000005
"Other transportation categories",0.026569754,0.023811881,0.024215472,0.024686329,0.025829837,0.025358981,0.024619063,0.026031633,0.027242406,0.027511467,0.027107876,0.024820859,0.024551798,0.022668373,0.023004699,0.022870168,0.022264781,0.023004699,0.021323069,0.019170582,0.024820859,0.022601107,0.021592129,0.021995721,0.023071964,0.025964367,0.025560776,0.023946411,0.024148207,0.024215472,0.020448621
"Gross total",4.3226081999999995,4.497318976000001,4.445300828000001,4.490919963999999,4.4092181020000005,4.2994042320000005,4.409957941,4.336718866999999,4.429814669,4.58603013,4.577285686,4.536299752,4.836855764000001,4.771237392000001,4.8161319460000005,5.053880592,5.087276005,5.083034604000001,4.706294796,4.650549660000001,5.280356938,4.929441654,4.744839439,4.551045592,4.625187316999999,4.8424807350000005,5.591684333,5.337229652,5.597329166,5.809154875,4.913833138999999
