"Massachusetts Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",27.31211832,25.83849553,26.2402143,26.31273774,26.83074807,27.21737628,28.25255533,28.80688751,29.53402276,30.48109941,31.3860513,30.79101805,30.78280846,31.3047836,31.9688984,31.79200647,30.88792946,31.40596894,30.2865006,28.5934195,29.09764821,29.08219838,29.00282591,29.39491964,28.90959875,29.73528098,30.41930534,30.09011834,30.67182238,30.65274781,23.31646289
"Use of fluorinated gases",0,0,0.019233174,0.08372676,0.203767738,0.322875381,0.467562449,0.618149895,0.723940038,0.830718671,0.929713552,1.026275585,1.064754412,1.089028777,1.115695293,1.129466207,1.144448578,1.159005379,1.171560032,1.293828715,1.209756522,1.282762243,0.913734293,0.944263587,0.78517968,0.747984249,0.700459332,0.651149302,0.624878539,0.597071432,0.569251326
"Fossil fuel combustion: other greenhouse gases",0.9698845600000006,0.9995447380000009,1.0341790429999982,1.0454610629999976,1.050928498000001,1.0706247360000027,1.1222353910000002,1.1131458149999993,1.1090019150000003,1.0203497350000035,0.9907469590000062,0.9131103150000008,0.8453881140000021,0.8011779819999987,0.7536251920000012,0.6756852579999979,0.6423819140000013,0.5599560839999995,0.531020306000002,0.4979438619999996,0.47392791700000103,0.45434572199999934,0.41432051199999975,0.37979237000000055,0.3493402000000003,0.3288716729999983,0.3150930279999997,0.2914504339999979,0.2642476689999995,0.29186644799999684,0.2475757829999985
"Other transportation categories",0.193589247,0.173207891,0.176571151,0.17979988,0.18793897,0.18471024,0.179261759,0.189351539,0.198230545,0.200315767,0.197288833,0.180741593,0.178656372,0.165136067,0.167288553,0.166414106,0.162176398,0.167423084,0.155449878,0.139777086,0.159822116,0.155584408,0.141324186,0.160898359,0.147781645,0.16466521,0.155786204,0.138633578,0.133925014,0.126122251,0.104261061
"Gross total",28.475592127,27.011248159,27.470197668,27.621725443,28.273383276,28.795586637000003,30.021614929,30.727534758999997,31.565195258,32.532483583,33.50380064400001,32.911145543,32.871607358,33.360126426,34.005507438,33.763572040999996,32.83693635,33.292353487,32.144530816,30.524969162999998,30.941154765,30.974890753,30.472204900999998,30.879873956,30.191900275,30.976802111999998,31.590643904000004,31.171351654,31.694873601999998,31.667807941,24.237551059999998
