"North Dakota Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",4.404370229,4.418068409,4.708249075,4.919704919,4.992953166,4.98194091,5.082526639,5.055600262,4.859656888,5.46798867,5.453959836,5.752330917,5.667786306,5.838644187,5.865753043,5.880714906,5.701626734,5.90590131,5.946851747,5.875492795,6.778834095,7.888505245,8.774007995,8.967799777,9.514549719,8.633793158,7.594820278,7.980007747,8.373958337,8.763551527,7.752856735
"Use of fluorinated gases",0,0,0.003300126,0.014321412,0.034773777,0.054781829,0.078968539,0.103405026,0.119802798,0.135887942,0.150648806,0.164781382,0.170457433,0.174452866,0.180560612,0.183244564,0.18619592,0.188679256,0.19118001,0.158925827,0.185061856,0.161763571,0.175388381,0.147943233,0.127291466,0.123091826,0.114384234,0.105356365,0.100788175,0.096126829,0.091353267
"Other transportation categories",0.063296554,0.056637299,0.057713542,0.058789785,0.061413128,0.06040415,0.058587989,0.061883984,0.064776388,0.06544904,0.064507327,0.059058846,0.058386194,0.054013956,0.054686608,0.054417547,0.053004978,0.054753873,0.050785226,0.045673071,0.043924176,0.051996,0.056704564,0.061211332,0.066659814,0.064507327,0.052466856,0.050785226,0.050247105,0.047421966,0.040090059
"Fossil fuel combustion: other greenhouse gases",0.11209113399999993,0.11469465299999992,0.12543185999999906,0.1305428940000004,0.13382461899999942,0.13860184400000009,0.1431651900000004,0.14970995100000106,0.1476179179999999,0.1381661249999997,0.12947611099999978,0.12681771000000008,0.11713946400000008,0.10942906399999952,0.10215449000000021,0.08638315500000004,0.0849723520000003,0.08110768899999954,0.06833209099999937,0.05798589099999951,0.05688163400000068,0.05880664499999888,0.06414038199999972,0.056464478999998846,0.05539779699999947,0.036362260000000646,0.03568406199999963,0.032483863999999585,0.034406400000001724,0.031400582999999926,0.020026148000000354
"Gross total",4.579757917,4.589400361,4.894694603,5.123359010000001,5.2229646899999995,5.235728733,5.363248357000001,5.370599223,5.191853992,5.807491777,5.798592080000001,6.102988855,6.013769397,6.176540073,6.203154753,6.204760171999999,6.025799984000001,6.230442128,6.257149074,6.138077584,7.064701761,8.161071461,9.070241322,9.233418820999997,9.763898796,8.857754571,7.79735543,8.168633202,8.559400017000002,8.938500905,7.904326209
