"Oklahoma Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",23.19952036,23.16503989,25.13496161,24.38000633,25.55406541,24.59746105,25.85290398,25.13625498,25.44229544,26.77158599,27.50989134,30.32840158,27.91268186,26.69341635,27.24303777,27.86234487,27.39931378,28.1622082,28.40962345,26.39597388,27.51992681,26.67376456,27.81503853,28.16796487,30.05621638,28.90202396,29.35801252,30.11622136,30.87554351,30.01136993,27.33770868
"Use of fluorinated gases",0,0,0.018360986,0.079499936,0.192089077,0.301469152,0.434116445,0.57004292,0.663538691,0.758123967,0.842654522,0.924157961,0.957077729,0.976849365,1.000066308,1.01027108,1.027034457,1.035223374,1.039913253,1.243228662,1.111211564,1.187356937,0.869771627,0.814128302,0.841815238,0.796993351,0.740046336,0.680619197,0.648573082,0.616697661,0.585703691
"Fossil fuel combustion: other greenhouse gases",0.6872276269999986,0.7362363710000004,0.7817899369999992,0.7943846679999993,0.8338767410000045,0.8506870609999986,0.8708327000000011,0.9042324000000015,0.8949304480000002,0.849059221000001,0.8355800339999995,0.7918489599999994,0.7631410049999978,0.7097230709999991,0.6496654530000008,0.5869938899999987,0.5951073780000016,0.5025820840000002,0.4891213059999977,0.4601154360000024,0.44197283300000123,0.41506336400000166,0.37216217900000004,0.3266050780000036,0.302574467000003,0.2733661019999971,0.24804694500000224,0.22989193699999788,0.20275997199999907,0.19623636000000033,0.16372355000000027
"Other transportation categories",0.324621857,0.290451135,0.296101412,0.301482628,0.315137464,0.309756248,0.30060818,0.317559011,0.33242462,0.33592241,0.33087752,0.303164258,0.299531937,0.27693083,0.280563151,0.279083316,0.271953205,0.280832211,0.260719916,0.234351958,0.189351539,0.179396289,0.16607778,0.168499327,0.180270737,0.192243943,0.179598085,0.170248222,0.160023912,0.149799601,0.135606644
"Gross total",24.211369844,24.191727396,26.231213945,25.555373562,26.895168692000002,26.059373510999997,27.458461305000004,26.928089311,27.333189199,28.714691587999997,29.519003416,32.347572759,29.932432531,28.656919616,29.173332682,29.738693156,29.29340882,29.980845869,30.199377924999997,28.333669936000003,29.262462746000004,28.45558115,29.223050115999996,29.477197577000002,31.380876822,30.164627356,30.525703886,31.196980716,31.886900475999997,30.974103552000003,28.222742564999997
