"Tennessee Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",30.77285464,29.08164582,31.1573784,33.07307358,34.492224,35.60976781,37.09151593,37.50031869,38.36354341,40.41258319,40.570215,39.70740344,41.31863517,42.41598687,41.9869372,42.7859213,42.45299656,42.3890323,40.19056653,38.19190775,39.31028336,38.86307769,37.72894439,37.49363744,39.06608231,39.34259835,40.62428718,40.88723847,41.49033882,43.47320498,40.33385677
"Use of fluorinated gases",0,0,0.028789863,0.125584812,0.306284813,0.485431049,0.704000894,0.929402899,1.085383202,1.243717001,1.391359803,1.532876882,1.589858656,1.629845211,1.676825598,1.705629471,1.739904255,1.759120255,1.770729897,2.108855878,1.878270958,2.005751185,1.470164826,1.372468804,1.420235302,1.344183376,1.253073825,1.161832436,1.11478597,1.063516797,1.013279069
"Fossil fuel combustion: other greenhouse gases",0.9398994180000031,0.9789395389999989,1.0684867550000021,1.1335702659999995,1.1949883079999921,1.2381854230000044,1.2830704610000012,1.3079843159999953,1.3318230960000008,1.2713401709999985,1.2305475769999958,1.189572720000001,1.117811482999997,1.0594506939999988,0.9899784879999984,0.8673454739999968,0.835525300999997,0.7257913980000055,0.6646003490000041,0.6420991700000016,0.6261395879999938,0.5969597090000036,0.537005004000001,0.4907572450000046,0.45122855599999667,0.42432866599999386,0.38443293599999606,0.35234081600000167,0.3449131479999963,0.3605100130000025,0.30260821200000976
"Other transportation categories",0.282312046,0.252580827,0.257491187,0.262199751,0.274038426,0.269329862,0.261392568,0.276123647,0.289105831,0.292132765,0.287760527,0.26361232,0.260518121,0.240809417,0.243970882,0.242692843,0.236504444,0.244239942,0.226683725,0.203813557,0.242894638,0.235091875,0.211683585,0.221907896,0.23347751,0.256145883,0.242760108,0.226078338,0.218948227,0.211347259,0.189418804
"Gross total",31.995066104000003,30.313166185999997,32.512146205,34.594428408999995,36.26753554699999,37.602714144000004,39.339979853,40.013829552,41.069855539,43.219773126999996,43.479882907,42.693465362000005,44.28682342999999,45.346092192,44.897712168,45.601589088,45.264930559999996,45.118183895,42.852580501000006,41.146676355,42.057588544,41.700880459000004,39.94779780500001,39.578771385,41.171023678,41.367256274999995,42.504554049,42.62749006,43.16898616499999,45.108579049,41.839162855000005
