"Montana Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",5.61640145,5.454806072,5.884068177,6.111305659,6.324978919,6.472295225,6.463613418,6.582264909,6.736619949,7.094299034,7.130388375,7.156940284,7.2648823,7.463808484,7.55888619,7.700119254,7.807405555,7.875286836,7.433051323,7.13573121,7.462930726,7.444580694,7.584735574,7.482898868,7.577088388,7.444268092,7.46476687,7.518430358,7.612737314,7.480664343,7.304223662
"Use of fluorinated gases",0,0,0.002835986,0.012302274,0.029517004,0.046082462,0.065588441,0.084598396,0.096875952,0.109382775,0.120634633,0.131250983,0.134939333,0.13777028,0.14089219,0.141742067,0.142351994,0.143447165,0.144453532,0.152716945,0.11023016,0.042696105,0.140808605,0.121181322,0.122467864,0.115979032,0.108106469,0.10023371,0.09564893,0.091013755,0.086714053
"Other transportation categories",0.081996279,0.073386334,0.074798903,0.076144207,0.079574732,0.078229428,0.075942411,0.080180119,0.08394697,0.084821418,0.083543379,0.076547798,0.07567335,0.069955808,0.070897521,0.07049393,0.06867777,0.070897521,0.065852631,0.059193376,0.052803182,0.051592409,0.046816579,0.050045309,0.049641718,0.052668652,0.050650696,0.047152905,0.044664093,0.042847933,0.042578872
"Fossil fuel combustion: other greenhouse gases",0.1618739859999998,0.16574204299999984,0.17831976900000068,0.18644959500000002,0.1990233649999995,0.20590545700000007,0.2071097979999994,0.20169229699999924,0.20076768900000097,0.18937479499999998,0.18214118800000012,0.17577050300000074,0.16810251899999962,0.15922325499999967,0.14998555699999994,0.13037569400000049,0.12393676599999992,0.11018619800000007,0.09999122900000046,0.09038889299999919,0.09563224000000048,0.09510840300000023,0.08487562400000037,0.07858454899999945,0.06768336399999964,0.05744533799999996,0.05650968100000053,0.053256424000000635,0.04838902200000028,0.04872962299999983,0.038260815000000115
"Gross total",5.860271715,5.693934449,6.140022835,6.386201734999999,6.63309402,6.802512572,6.812254068,6.9487357209999985,7.118210560000001,7.477878022,7.516707575,7.540509568000001,7.6435975019999995,7.830757826999999,7.920661458,8.042730944999999,8.142372085,8.199817719999999,7.743348715000001,7.438030423999999,7.7215963080000005,7.633977611000001,7.857236382,7.7327100479999995,7.816881334,7.670361114,7.6800337160000005,7.719073397000001,7.801439359000001,7.663255653999999,7.471777402
