"Alabama Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",26.73247466,26.57469461,27.61415447,27.94110122,29.60448321,31.24884912,30.49801527,29.9866086,31.66861623,31.85096872,32.60205461,30.69940213,32.08735635,31.88891945,32.58809894,32.80894197,32.87421141,33.76570073,31.04002295,29.90291191,31.02803665,30.74463544,30.40150092,29.94215215,30.60690085,31.20069175,33.08158624,32.1061225,32.27129555,32.70163203,32.77663927
"Use of fluorinated gases",0,0,0.02368309,0.103013355,0.249423475,0.391557197,0.562913169,0.738206847,0.858303385,0.977146473,1.086058859,1.190851008,1.228918055,1.255169153,1.285313459,1.301004828,1.322761252,1.331031552,1.337300912,1.591147366,1.414281568,1.504131156,1.096888937,1.020664805,1.05113046,0.989445826,0.91689006,0.844023609,0.804510689,0.764195439,0.724118712
"Fossil fuel combustion: other greenhouse gases",0.8692472850000001,0.9132405079999977,0.9985540190000037,1.0472826020000028,1.0882528489999999,1.1257426099999996,1.1392535170000002,1.1570461849999987,1.1668896139999951,1.0897461860000028,1.0572036109999985,0.9742344339999995,0.924849125999998,0.874100385000002,0.8022515779999964,0.7022833740000038,0.6873038899999955,0.608429975,0.5484405260000003,0.4949079900000015,0.5389221149999983,0.5288972110000003,0.4736283169999993,0.419980123000002,0.38015943799999974,0.3485025069999992,0.32104468600000047,0.293782819999997,0.27547135600000416,0.2818797669999995,0.23658928799999757
"Other transportation categories",0.202939109,0.181548776,0.185113831,0.188477091,0.197019772,0.193656512,0.18793897,0.198499606,0.207782204,0.210001955,0.206840491,0.189486069,0.187266318,0.173140626,0.175360377,0.17448593,0.169979161,0.175562173,0.16298358,0.146503606,0.199912175,0.193320186,0.17616756,0.183835793,0.189889661,0.211885381,0.214441459,0.193185655,0.174284134,0.171795322,0.166884962
"Gross total",27.804661054,27.669483894,28.82150541,29.279874268000004,31.139179306000003,32.959805439,32.388120926,32.080361238,33.90159143299999,34.127863334000004,34.952157571,33.053973641,34.428389849,34.191329614000004,34.851024353999996,34.986716102,35.054255712999996,35.88072443,33.088747968,32.135470872000006,33.181152508000004,32.970983993000004,32.148185734,31.566632871,32.228080409,32.750525464,34.533962445,33.43711458399999,33.525561728999996,33.919502558,33.90423223199999
