"North Carolina Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",38.54884134,37.44740305,38.66438105,39.96064118,41.77145151,42.78791988,45.32523957,45.89050658,47.48067007,48.82419592,50.64483298,49.10694098,49.54272715,51.34402628,51.99873839,52.17714972,51.41533748,52.0843711,49.01451707,46.72160671,50.29327311,49.16747029,47.34713304,48.00603601,49.7141871,50.54419426,52.60744039,53.24100372,54.32320818,55.12029516,49.83451558
"Use of fluorinated gases",0,0,0.048435804,0.211211215,0.513480387,0.812404429,1.175532331,1.549006208,1.810765356,2.075204268,2.318946005,2.555665447,2.649733608,2.709847983,2.77824196,2.815135311,2.865300013,2.915133414,2.961158524,3.074762062,2.128885804,1.702259632,1.934244652,1.646355328,1.649846987,1.566987215,1.465739034,1.362633019,1.311101721,1.258111477,1.205335845
"Fossil fuel combustion: other greenhouse gases",1.2735317220000013,1.3503870130000024,1.4425627660000018,1.509540090999998,1.5696889430000027,1.663972218000005,1.734870671000003,1.766934690999996,1.7908732940000007,1.7073683660000043,1.6508154750000017,1.5644164420000024,1.4705693709999963,1.3902808229999977,1.2872462170000034,1.1922367429999952,1.1326144379999974,1.0240507810000068,0.9428543830000038,0.9179755179999987,0.8767296449999975,0.8426750420000033,0.7637419960000003,0.7002634899999975,0.6485458029999975,0.6016253589999963,0.5629089870000001,0.517328507000002,0.49429900900000234,0.5097857570000031,0.4295634049999961
"Other transportation categories",0.265092154,0.237177096,0.241818395,0.246190633,0.257356656,0.252917153,0.245450716,0.259307347,0.271482349,0.274307487,0.27020431,0.247535937,0.244643534,0.226145604,0.229105272,0.227894499,0.222042426,0.229307068,0.212894359,0.191369495,0.290921991,0.275316465,0.245719777,0.262536077,0.273365774,0.302760667,0.291594643,0.269329862,0.261594364,0.254127927,0.230786902
"Gross total",40.087465216000005,39.034967159000004,40.39719801500001,41.927583119,44.111977496,45.51721368,48.481093288000004,49.465754825999994,51.353791069,52.88107604100001,54.884798769999996,53.474558806000005,53.90767366299999,55.670300690000005,56.293331839000004,56.412416273,55.635294357,56.252862363000006,53.131424336,50.905713785,53.589810549999996,51.987721429000004,50.290839465,50.615190905,52.28594566399999,53.01556750099999,54.927683054000006,55.390295108000004,56.390203274,57.142320321,51.700201732
