"Idaho Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",6.397836384,6.177026415,6.361078964,7.186654189,7.257275938,7.709698719,7.988396575,8.374607912,8.259835596,8.889547316,8.76866242,8.54958272,8.710437842,8.45144997,8.620644715,8.579864852,9.032843915,9.31060333,8.641519627,8.472131995,9.056159514,8.692343236,8.828434518,8.873092171,9.121462,9.332014456,9.765228061,9.99012506,9.939054135,10.27864468,10.05212452
"Use of fluorinated gases",0,0,0.003680545,0.016147015,0.039244011,0.061894599,0.089035805,0.11679392,0.135944023,0.155471503,0.173446498,0.191018479,0.198393607,0.204248714,0.210851758,0.215340283,0.219449687,0.22380191,0.226991539,0.241253576,0.174771764,0.067810549,0.223785125,0.19262355,0.195469182,0.185802907,0.1746941,0.163566408,0.157827427,0.152159208,0.146605962
"Fossil fuel combustion: other greenhouse gases",0.19375138600000064,0.20810926399999907,0.22512395400000074,0.24547696599999913,0.25173014100000035,0.2677482239999991,0.27978308900000126,0.2731964900000001,0.27785543799999957,0.26691572999999913,0.24702129299999953,0.23897882300000006,0.22265063400000074,0.20723560499999927,0.1942375270000003,0.16822007899999925,0.1633069539999994,0.149113045,0.13457799300000062,0.12657030699999972,0.12509649199999906,0.11911641300000042,0.10932512699999997,0.09733077499999965,0.0872434920000007,0.0825742629999997,0.0770280200000002,0.07075551799999857,0.06764791300000184,0.07222089699999934,0.05705241000000072
"Other transportation categories",0.057646277,0.051592409,0.052601387,0.053543099,0.055964647,0.055022934,0.053408569,0.056435503,0.059058846,0.059664233,0.058789785,0.05381216,0.053206773,0.049170861,0.049843513,0.049574453,0.048296414,0.049910779,0.046278458,0.041637159,0.058991581,0.055830116,0.051794204,0.055224729,0.057444481,0.069215891,0.067803322,0.06222031,0.060269619,0.059664233,0.056300973
"Gross total",6.649234047,6.436728088,6.642484850000001,7.501821268999999,7.604214737,8.094364475999999,8.410624038000003,8.821033824999999,8.732693903,9.371598781999998,9.247919996,9.033392182,9.184688856,8.91210515,9.075577513,9.012999666999999,9.46389697,9.733429064,9.049367617,8.881593037,9.415019351000002,8.935100314,9.213338974,9.218271225,9.461619155,9.669607517,10.084753503,10.286667296,10.224799094000002,10.562689017999999,10.312083865000002
