"Utah Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",10.33423231,10.49557273,10.83499535,11.16596559,11.5308362,12.65452673,13.1359563,13.74601134,14.23584563,14.69728763,15.43952607,14.76248133,15.27488809,15.58432483,15.88450356,16.0704744,17.6250369,17.47658361,16.36114301,15.45742366,14.97572793,16.02933827,15.69364199,15.75183678,16.02318626,15.980638,16.76693136,17.14443219,17.93591315,17.66816232,16.83882466
"Use of fluorinated gases",0,0,0.006308216,0.027646502,0.067184593,0.105890043,0.153043397,0.201525317,0.235121188,0.268547182,0.299593677,0.330488124,0.344104795,0.353573432,0.363828594,0.370557844,0.377363259,0.386272396,0.393975867,0.422683073,0.308796765,0.120479898,0.4002202,0.346373193,0.35187813,0.335472352,0.315795471,0.295180327,0.284217264,0.272447106,0.260796019
"Fossil fuel combustion: other greenhouse gases",0.3110279479999978,0.3372249430000007,0.3643433959999989,0.3860353539999988,0.4069429710000012,0.42346478600000026,0.441571853000001,0.4539453379999987,0.46112713499999813,0.44382714600000206,0.4335605900000008,0.4204550739999995,0.4072401050000014,0.3747035359999984,0.35457202399999765,0.31574018899999956,0.31529199999999946,0.28369431400000167,0.25744764300000256,0.2479998220000006,0.2367062450000006,0.22222579400000342,0.2013882389999999,0.18569313599999937,0.17115283100000056,0.16684575099999677,0.16119313200000107,0.1493507199999975,0.1490088899999975,0.14971437399999843,0.12634206599999587
"Other transportation categories",0.080852771,0.072377356,0.073789925,0.075135229,0.078498489,0.077153185,0.074866168,0.079103876,0.082803462,0.083677909,0.08239987,0.07553882,0.074597107,0.069014096,0.069888543,0.069552217,0.067736057,0.069955808,0.064978184,0.058386194,0.090135368,0.096794623,0.086166722,0.09067349,0.090471694,0.100561474,0.095314789,0.089395451,0.085695865,0.081727218,0.079507467
"Gross total",10.726113028999999,10.905175029,11.279436887,11.654782675,12.083462253,13.261034744000002,13.805437718,14.480585870999999,15.014897414999998,15.493339867000003,16.255080207000002,15.588963348,16.100830097,16.381615893999996,16.672792720999997,16.826324649999997,18.385428216,18.216506128,17.077544704000005,16.186492749000003,15.611366308000001,16.468838585000004,16.381417151,16.374576599,16.636688915,16.583517576999995,17.339234752000003,17.678358688,18.454835169,18.172051018,17.305470211999996
