"New Mexico Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",14.92149775,14.56186947,13.89006972,15.82427029,15.47714046,15.12674119,13.27140565,15.80168871,16.20062868,16.38772289,15.97207489,15.97485115,15.87237045,15.68539515,15.99171911,15.52464998,15.85276233,15.41082948,14.24336498,13.95075792,13.6327339,14.19702509,14.1923247,13.86428032,14.40892457,14.37026441,14.13582897,15.01469561,15.24854364,15.4499941,14.78609057
"Use of fluorinated gases",0,0,0.005479311,0.023831704,0.057655873,0.090445177,0.129683286,0.168731811,0.194687847,0.220358199,0.243092322,0.265073266,0.274611409,0.281280402,0.288418369,0.291334887,0.293184067,0.295913884,0.297462891,0.316117754,0.229712164,0.089059128,0.292748063,0.250071754,0.250315344,0.235002991,0.21707197,0.199052171,0.188606078,0.178573467,0.169027711
"Fossil fuel combustion: other greenhouse gases",0.32671298599999865,0.34767969700000023,0.39655351299999886,0.40325820399999834,0.43589435500000207,0.44735145900000006,0.45145695699999955,0.45331947700000086,0.4562680049999983,0.42696163200000115,0.41224502399999885,0.4013691510000008,0.3631045679999989,0.33939035900000114,0.322478901000002,0.28073852300000013,0.2899821790000008,0.2616476470000002,0.24241299400000038,0.22877355099999974,0.2102994469999988,0.20197483799999993,0.18202613699999937,0.16255903999999965,0.14827539999999928,0.14074780199999992,0.12721832699999958,0.11635862400000008,0.10635580599999983,0.11055188300000118,0.0910942049999992
"Other transportation categories",0.08912639,0.079709262,0.081256362,0.082736196,0.086503048,0.085023213,0.082534401,0.0871757,0.091278877,0.09222059,0.09080802,0.083207053,0.082198075,0.076009676,0.077018654,0.076615063,0.074664372,0.07708592,0.071570173,0.064372797,0.091951529,0.092018794,0.085426804,0.087982882,0.092893242,0.102243105,0.094305811,0.092287855,0.091211612,0.088521004,0.082870727
"Gross total",15.337337126,14.989258429,14.373358905999998,16.334096393999996,16.057193736000002,15.749561039,13.935080294,16.510915698,16.942863409,17.127263311,16.718220256,16.72450062,16.592284502,16.382075587000003,16.679635034,16.173338453,16.510592948000003,16.045476931,14.854811038000001,14.560022022,14.164697039999998,14.58007785,14.752525704,14.364893996000001,14.900408556,14.848258308,14.574425077999999,15.42239426,15.634717135999999,15.827640454,15.129083213
