"Louisiana Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",32.52809499,33.21803603,35.21456844,35.54908086,37.90129357,37.80718821,39.76517786,36.46914014,35.92217777,39.25936605,44.42536537,39.00774826,40.73846049,41.00143808,39.41565443,38.0283651,40.7444416,37.11617085,34.24672102,33.54093883,29.45430327,29.96089099,28.9322595,28.58937303,28.34899832,27.42317937,29.53438361,30.92563998,31.20604775,33.54516909,31.41421083
"Use of fluorinated gases",0,0,0.024475501,0.105512201,0.254531815,0.399027749,0.571721884,0.747187145,0.865248807,0.983911288,1.090867385,1.193580754,1.233630094,1.260060797,1.291415305,1.302947309,1.229514345,1.246359038,1.25719674,1.50209479,1.34309366,1.43412179,1.048026168,0.977243542,1.008206463,0.951169737,0.881946751,0.808671433,0.767147437,0.725318977,0.683478577
"Other transportation categories",0.301079037,0.269329862,0.274576548,0.279621438,0.292267295,0.287222405,0.27874699,0.294487047,0.308276413,0.311505143,0.306796579,0.281101272,0.277805277,0.256818535,0.260181795,0.258836491,0.252177236,0.26038359,0.24175113,0.217333862,0.265697541,0.269128067,0.224127647,0.2416166,0.231257759,0.25352254,0.230383311,0.226280134,0.183432201,0.186929992,0.197894219
"Fossil fuel combustion: other greenhouse gases",1.0001071539999984,0.9928196840000041,1.0069263059999969,1.0603953800000028,1.0949413029999988,1.101168163000004,1.1211746069999933,1.0946390679999993,1.113672416,1.081457044000004,1.068677239000003,0.9117187760000007,0.8978311270000034,0.8727550899999983,0.8061552930000033,0.6925551629999944,0.690243959,0.6112933710000021,0.5834960569999978,0.5550593159999977,0.4790137649999977,0.47369416700000144,0.4347913030000008,0.3997291979999993,0.3361097320000006,0.29691739699999786,0.2759260270000041,0.31264911900000314,0.2251167520000017,0.226692804999999,0.19052761900000093
"Gross total",33.829281181,34.480185576000004,36.520546794999994,36.994609879,39.543033983,39.594606527,41.736821340999995,38.605453399999995,38.209375406,41.636239525,46.89170657300001,41.394149062000004,43.147726988,43.391072502,41.773406823,40.28270406299999,42.91637714,39.234206849,36.329164946999995,35.815426798,31.542108236,32.137835014000004,30.639204618,30.20796237,29.924572274000003,28.924789043999997,30.922639699000005,32.27324066600001,32.381744139999995,34.684110864000004,32.486111245
