"Maine Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",7.334285052,7.120938619,7.224314267,7.149093566,7.179443427,7.04564041,7.447437534,7.78886414,7.507690948,8.039544764,8.454267634,7.398515949,8.438924741,9.365485721,8.459805992,8.844033952,8.7465884,8.504577536,7.937902907,8.005872168,7.792736352,7.843745402,7.470019771,8.244425265,8.35217786,8.213690457,8.279410481,7.601774182,7.016363173,6.890090199,6.353586447
"Use of fluorinated gases",0,0,0.003951168,0.017162402,0.041542972,0.065373716,0.094504306,0.124579375,0.145337371,0.166582806,0.186651742,0.206244107,0.215028024,0.221536139,0.228573189,0.232618756,0.236317322,0.239140541,0.240961372,0.263940452,0.244597447,0.257644215,0.182094245,0.186815378,0.154510798,0.146251815,0.136695081,0.126722593,0.121616055,0.116538717,0.111490724
"Fossil fuel combustion: other greenhouse gases",0.24567594399999937,0.25141433599999985,0.26219203700000016,0.2651807460000004,0.271115784,0.2728439429999998,0.2766790210000005,0.28188590999999885,0.28404021700000115,0.2723598910000007,0.2628820819999991,0.2500216430000002,0.23792728600000146,0.21926078499999946,0.19981374400000007,0.18202400000000019,0.17699761999999986,0.15014657500000084,0.13503403900000066,0.13551122999999876,0.12238322299999904,0.11547712199999971,0.10201898600000003,0.09289723200000033,0.08198465900000151,0.07549933799999842,0.0686467490000009,0.061077559000000115,0.05607801599999984,0.057797649000000284,0.0482143310000005
"Other transportation categories",0.055022934,0.049238127,0.050179839,0.051121552,0.053408569,0.052534121,0.050987022,0.05381216,0.056368238,0.056973625,0.056099177,0.051390613,0.050785226,0.04695111,0.047556497,0.047354701,0.046076662,0.047623762,0.044193237,0.039753733,0.049776248,0.047825557,0.04358785,0.050987022,0.051188817,0.055695586,0.052332326,0.050717961,0.039215612,0.037466717,0.034372517
"Gross total",7.63498393,7.421591082,7.540637311,7.482558266000001,7.545510752,7.436392189999999,7.8696078830000005,8.249141584999998,7.993436774000001,8.535461086,8.959900635,7.906172312,8.942665277000001,9.853233755,8.935749422,9.306031409000001,9.205980004,8.941488414,8.358091555,8.445077582999998,8.20949327,8.264692295999998,7.797720851999999,8.575124897,8.639862134000001,8.491137195999999,8.537084637,7.840292295,7.233272855999999,7.101893282000001,6.547664019000001
