"Kansas Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",17.83791929,16.50995797,16.44392539,17.15658237,16.4866314,17.34843091,18.19561705,18.38115763,18.41943241,19.6394872,18.52719155,17.34666432,17.60724253,19.38765386,18.55855494,16.79550253,17.72979676,18.21094211,17.87505802,17.73920512,17.85350935,17.24356951,16.64290938,16.91779873,17.79973002,16.97220372,16.96582244,16.04820326,17.25835643,17.65011771,16.40667035
"Use of fluorinated gases",0,0,0.013094511,0.05709989,0.139165056,0.219945791,0.317455754,0.419417775,0.492249161,0.564918518,0.632064312,0.696749279,0.724796935,0.743618048,0.765807713,0.778625108,0.792160534,0.804572275,0.816413178,0.677009758,0.783926553,0.677157684,0.720814036,0.592122765,0.50001914,0.474213005,0.440672496,0.405257978,0.386245539,0.366601504,0.347814553
"Fossil fuel combustion: other greenhouse gases",0.4699879710000019,0.48514454300000054,0.5237506119999971,0.5258116129999983,0.5346888300000003,0.5598847330000005,0.5645448570000013,0.5666430710000014,0.5630896290000003,0.536841030999998,0.5159135209999981,0.48190784000000164,0.45074128299999927,0.4246837259999978,0.387450230999999,0.3444095890000014,0.33019531200000074,0.28687372599999605,0.27134891900000113,0.2556133379999963,0.23999367300000074,0.23031602300000031,0.21224729000000053,0.19766975399999964,0.19014094800000336,0.15150849900000196,0.1370784520000008,0.12754301400000045,0.1173533159999991,0.11732802399999898,0.09009572200000093
"Other transportation categories",0.25197544,0.225472952,0.22984519,0.234015632,0.244643534,0.240405826,0.23334298,0.246459694,0.258029308,0.260719916,0.256818535,0.235293671,0.232535798,0.21497958,0.217804719,0.21666121,0.211078199,0.218006514,0.202333723,0.181952367,0.114149045,0.107086199,0.100225148,0.112467415,0.120741035,0.124373355,0.111929293,0.099417966,0.09753454,0.09740001,0.088319208
"Gross total",18.559882701,17.220575465,17.210615702999995,17.973509504999996,17.40512882,18.368667260000002,19.310960641,19.61367817,19.732800508,21.001966664999998,19.931987918,18.76061511,19.015316546,20.770935213999998,19.929617603,18.135198437000003,19.063230805,19.520394624999998,19.165153840000002,18.853780583,18.991578621000002,18.258129416000003,17.676195854,17.820058664,18.610631143,17.722298579,17.655502681,16.680422218000004,17.859489825,18.231447248,16.932899833
