"Arkansas Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",16.58402018,16.47463916,16.82850792,17.31437124,18.3132458,18.72652149,19.07185914,19.65051643,19.93288885,21.04386914,21.21460051,19.74560593,19.60764414,20.08835688,19.68536385,20.09748162,20.26520602,20.55677288,19.3192965,18.87574668,19.1799835,18.68155761,18.77554532,18.32616633,19.08037281,18.48617011,19.25815202,19.42958543,19.64659726,19.70577007,18.60245647
"Use of fluorinated gases",0,0,0.013774139,0.060042687,0.146017241,0.2310449,0.334296913,0.439599593,0.511760671,0.584914937,0.653412216,0.717440157,0.74225368,0.759434179,0.780052929,0.791766963,0.806336451,0.81142154,0.814746894,0.96876086,0.863549436,0.921674343,0.672456815,0.625392223,0.644244932,0.607292076,0.563645908,0.5197479,0.495400657,0.470382931,0.445889143
"Fossil fuel combustion: other greenhouse gases",0.41926845600000107,0.4530316840000026,0.48435892599999875,0.5117823689999987,0.541144757999998,0.5740036680000031,0.599754137999998,0.5965476540000019,0.5863324190000014,0.5709440349999966,0.5388635400000013,0.5048969739999976,0.47770734299999873,0.4486560659999981,0.4149777179999994,0.35541810200000157,0.3439548059999993,0.30396600099999915,0.287585294000003,0.28000989300000256,0.2660171630000008,0.25004744099999954,0.2282251500000001,0.20308723000000128,0.18279659399999915,0.16171590200000097,0.14612939699999927,0.13530319799999901,0.12499107499999695,0.12778331699999868,0.1017629869999972
"Other transportation categories",0.180472532,0.161436481,0.164597945,0.167624879,0.175225847,0.172198913,0.167086758,0.176503886,0.184777505,0.186728196,0.183970323,0.168499327,0.166548636,0.153970044,0.155988,0.155180817,0.151144905,0.15612253,0.144956507,0.130292693,0.135808439,0.128543798,0.114418106,0.117377775,0.120337443,0.130830815,0.12585319,0.117041449,0.112467415,0.107624321,0.099821557
"Gross total",17.183761168,17.089107325,17.491238929999998,18.053821175,19.175633645999998,19.703768971000002,20.172996948999998,20.863167563,21.215759445000003,22.386456308,22.590846589,21.136442387999995,20.994153799000003,21.450417168999998,21.036382497,21.399847502000004,21.566642182,21.828282951000002,20.566585195000002,20.254810126000002,20.445358538,19.981823191999997,19.790645390999998,19.272023558,20.027751779,19.386008903,20.093780515000002,20.201677976999996,20.379456407,20.411560638999998,19.249930156999994
