"Minnesota Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",23.03804284,23.6052573,25.12136531,26.88807162,28.03460323,29.05523116,30.34787998,29.96445367,31.59029717,33.73375217,35.05981631,34.43151575,34.98549624,35.40787603,35.74363155,35.30185936,34.07487094,33.76918877,32.45110052,30.19919323,30.20446502,29.47817493,30.07671555,29.44434034,30.11547909,29.31220307,31.80266193,32.09805158,32.38614183,32.28348716,26.36139809
"Use of fluorinated gases",0,0,0.023245718,0.101756187,0.248632854,0.394073133,0.572225339,0.758113497,0.890550929,1.027920921,1.157676295,1.284808061,1.340579246,1.380066774,1.424900647,1.452026736,1.480443951,1.504990926,1.525505237,1.262195402,1.456611171,1.261641925,1.343085671,1.107754386,0.939547713,0.893451706,0.835871407,0.775362455,0.743751021,0.709890498,0.675304585
"Fossil fuel combustion: other greenhouse gases",0.7875841199999982,0.8162518070000004,0.8891221919999985,0.935348745999999,0.968770892000002,0.9878349909999962,0.9921129430000022,1.061660426999996,1.0648536429999993,1.0275051750000017,1.002291489000001,0.9422274000000002,0.892472651999995,0.8479235289999991,0.794386553999999,0.7004889350000028,0.6677957530000072,0.595814451999999,0.5657220029999976,0.5080410210000004,0.48078338100000195,0.45854299699999856,0.4180870799999994,0.3793387209999999,0.3413774620000005,0.3023712790000026,0.28060967100000056,0.25498442899999674,0.23759967099999812,0.24279662699999705,0.19452858000000006
"Other transportation categories",0.332491885,0.297446716,0.303298788,0.308814535,0.322805696,0.317222685,0.307872822,0.325227244,0.340496444,0.3440615,0.338882079,0.310496165,0.306796579,0.28365735,0.287356936,0.285877101,0.278477929,0.287625997,0.26697558,0.2400695,0.175898499,0.169171979,0.16103289,0.165741454,0.170719078,0.184441179,0.186795461,0.170786344,0.165270597,0.160562033,0.131503467
"Gross total",24.158118844999997,24.718955823,26.337032007999998,28.233991088,29.574812672,30.754361968999998,32.220091083999996,32.109454838,33.886198186,36.13323976600001,37.558666173000006,36.969047376000006,37.525344716999996,37.919523682999994,38.250275687000006,37.740252132,36.501588573,36.157620144999996,34.80930333999999,32.209499152999996,32.317758071,31.367531831,31.998921191,31.097174901,31.567123343000002,30.692467234000002,33.105938469,33.299184808,33.532763119,33.396736317999995,27.362734722000003
