"California Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",175.6347404,164.7216404,175.8067894,171.0006286,176.6571303,179.0749495,183.7402354,181.0911231,183.296522,188.5307244,197.7389273,193.7418114,203.5174121,199.4421806,205.7478611,207.8969369,207.4416334,208.938086,192.8336016,184.3792159,176.717176,172.3651274,170.3880666,170.080629,172.881714,174.6721825,182.9357462,187.5747158,189.0600917,190.1838016,148.4347468
"Use of fluorinated gases",0,0,0.082280508,0.35808122,0.869604547,1.371522481,1.981346248,2.61169512,3.054129027,3.506467086,3.928228093,4.339550647,4.514013274,4.637924926,4.776544684,4.850352566,4.913035208,4.969402542,5.015116187,3.181039189,5.282085857,4.095121598,3.537458232,3.388069294,3.874335959,3.704762507,3.48487478,3.258137905,3.146069378,3.028972179,2.912794561
"Fossil fuel combustion: other greenhouse gases",5.870278012,5.898739479999989,6.063961311999975,6.306795824999995,6.551460066000004,6.699985698000006,6.718169940999985,6.660473873000001,6.5155605989999685,6.328067034999975,6.205307755999996,5.803019820000003,5.63530473199998,5.301376231000006,4.962481835999995,4.426304270000003,4.321448357999998,3.842821428999997,3.6110715849999906,3.4738836680000134,3.190241394999987,2.992453189999992,2.733408742999984,2.485372030000036,2.243389437000019,2.127715007000006,2.0009482899999966,1.893034116999985,1.8413609420000228,1.867917743999982,1.5834222889999978
"Other transportation categories",1.171288933,1.047857291,1.068305912,1.08781282,1.136983681,1.117476773,1.084516825,1.145660892,1.199338522,1.211849849,1.193688245,1.093664892,1.080749974,0.999157286,1.012206735,1.006960049,0.981062947,1.013081182,0.940569296,0.845590833,1.039852732,0.974067366,0.888909622,0.928730621,0.950726341,1.048731738,0.993574274,0.924022057,0.890658518,0.858909343,0.710185985
"Gross total",182.676307345,171.66823717100002,183.02133713199999,178.753318465,185.215178594,188.263934452,193.52426841399998,191.508952985,194.06555014799997,199.57710836999996,209.066151394,204.978046759,214.74748008,210.38063904300003,216.49909435499998,218.18055378499997,217.657179913,218.76339115300001,202.400358668,191.87972958999998,186.229355984,180.426769554,177.547843197,176.882800945,179.95016573700002,181.55339175199998,189.41514354400002,193.649909879,194.938180538,195.93960086599998,153.641149635
