"Vermont Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",3.052784738,3.124785375,3.339974534,3.513558465,3.574974613,3.727369256,3.910972213,3.752886157,3.710231662,3.559216152,3.755898012,3.772743262,3.699144729,3.80884828,3.793556111,3.784461026,3.752124317,3.691206559,3.438136682,3.402431189,3.296935982,3.219215137,3.17215154,3.158980446,3.174835879,3.160123249,3.215306422,3.179959329,3.046867826,3.148343941,2.63633514
"Use of fluorinated gases",0,0,0.001827227,0.007981589,0.019518004,0.030965717,0.04491962,0.059296464,0.069304274,0.079514647,0.089099332,0.098209669,0.102115248,0.104765797,0.107862058,0.109575132,0.111210378,0.112355003,0.113036651,0.124034087,0.115309006,0.121638662,0.085880016,0.088110867,0.072622514,0.06886313,0.06405816,0.059306579,0.056700731,0.054040081,0.051474185
"Fossil fuel combustion: other greenhouse gases",0.11491227599999965,0.11876367599999993,0.1248636740000002,0.12622962799999993,0.1309604249999996,0.1321852400000001,0.13536917800000037,0.13525358200000026,0.13462495099999972,0.12331476600000046,0.12184922500000006,0.16209750099999987,0.15018716500000018,0.12005448499999982,0.10342104900000004,0.08833871999999987,0.08533572400000011,0.07337786800000012,0.06622488799999982,0.06788836700000012,0.05956806800000036,0.055493278000000146,0.050087027999999645,0.04492402300000009,0.03960700400000006,0.03698053599999973,0.03280677200000026,0.029177530000000118,0.026338292000000152,0.026416454000000478,0.02158509800000008
"Other transportation categories",0.02172666,0.019439643,0.019775969,0.02017956,0.021054008,0.020717682,0.020112295,0.021255803,0.022264781,0.022466577,0.022130251,0.020246825,0.02004503,0.01849793,0.018766991,0.018699726,0.018161604,0.018766991,0.017421687,0.015672792,0.020448621,0.019305112,0.017556217,0.018430665,0.018565195,0.020717682,0.019775969,0.017758013,0.015941852,0.015538261,0.012914918
"Gross total",3.189423674,3.262988694,3.4864414040000002,3.6679492419999997,3.74650705,3.9112378949999997,4.111373306,3.968692006,3.9364256679999996,3.784512142,3.98897682,4.053297257,3.971492172,4.052166492,4.0236062089999995,4.001074603999999,3.966832023,3.895706421,3.634819908,3.6100264350000004,3.492261677,3.4156521890000002,3.325674801,3.3104460010000003,3.305630592,3.286684597,3.331947323,3.2862014509999997,3.1458487010000002,3.2443387370000005,2.722309341
