"Connecticut Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",14.67327362,14.42204477,14.70440738,14.74444495,14.67507023,14.28422162,14.75227269,15.47174566,15.46122532,16.79372028,16.7414772,16.88579945,16.71228817,18.05088702,19.77239699,18.04297075,17.3908954,17.3521679,16.24106773,15.88178414,15.73587888,15.4788295,15.13772909,14.70270351,14.91358432,15.10379046,15.27612212,15.42693843,15.9366485,15.54406294,13.20494428
"Use of fluorinated gases",0,0,0.010530143,0.045716252,0.11086001,0.174760868,0.252454726,0.332537717,0.388452804,0.445305194,0.498651699,0.550677758,0.573881882,0.590814133,0.608297674,0.618586429,0.628003018,0.63563514,0.642120859,0.707063794,0.659402642,0.695979726,0.492937422,0.505628527,0.417342938,0.394879503,0.367280283,0.339192741,0.324391125,0.30880435,0.293727228
"Fossil fuel combustion: other greenhouse gases",0.5330665119999995,0.5559946370000013,0.5657990599999998,0.5890081909999996,0.596489333000001,0.6174317180000006,0.6160804679999998,0.6142764909999983,0.6193002149999991,0.5803793790000036,0.5650421359999989,0.524896493,0.49219870599999993,0.46247688400000087,0.42358469599999893,0.37167026900000266,0.3553883969999987,0.31337460800000017,0.2921695419999999,0.2766360379999995,0.2603185969999995,0.24775001700000132,0.22229347699999913,0.1965250600000008,0.1772291450000001,0.1614929630000006,0.14489899400000006,0.13344781999999888,0.12404539699999972,0.12426229499999941,0.10459457800000038
"Other transportation categories",0.103319348,0.09248965,0.094238546,0.095987441,0.100292414,0.098610784,0.09571838,0.101099596,0.10580816,0.106951669,0.105337304,0.096525562,0.095382054,0.088184678,0.089328186,0.08885733,0.086570313,0.089395451,0.083005257,0.074597107,0.090202634,0.086301252,0.077960367,0.080920036,0.08239987,0.090068103,0.084821418,0.07735498,0.074933433,0.071301112,0.060942271
"Gross total",15.309659479999999,15.070529057,15.374975129,15.475156834,15.482711987,15.17502499,15.716526263999999,16.519659463999997,16.574786499,17.926356522000003,17.910508338999996,18.057899263,17.873750812,19.192362715,20.893607546,19.122084778,18.460857128,18.390573099000004,17.258363388,16.940081079,16.745802753,16.508860495,15.930920356,15.485777133000001,15.590556272999999,15.750231029000002,15.873122815,15.976933971,16.460018455000004,16.048430697,13.664208357
