"Wyoming Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",5.116382346,4.998686435,5.31041179,5.704677075,5.59259906,5.968746474,6.359497486,6.503712014,6.812289397,8.008081382,7.09975854,7.483124029,7.283303527,7.221070751,7.548344973,7.694071969,7.85420001,8.308274186,8.328079342,7.737149809,8.010529111,7.350869124,7.856466466,7.756715098,7.732546206,7.345138322,7.140582708,7.015090815,7.374249553,7.271372781,6.853414943
"Use of fluorinated gases",0,0,0.001601271,0.00688949,0.016459325,0.025506007,0.036127468,0.046531518,0.05327634,0.059935199,0.065978624,0.071584355,0.074009436,0.075422573,0.077127275,0.07752103,0.078097318,0.079533501,0.08078311,0.086890547,0.062810597,0.024289943,0.080861098,0.069617024,0.069835964,0.065932291,0.0607104,0.055163722,0.052161383,0.049338754,0.046730609
"Other transportation categories",0.062892962,0.056300973,0.057377216,0.058453459,0.061076802,0.060000559,0.058251663,0.061547658,0.064440062,0.065112714,0.064103736,0.05872252,0.058049868,0.05367763,0.054350282,0.054081221,0.052668652,0.054417547,0.050516165,0.04540401,0.058386194,0.051525143,0.052332326,0.051794204,0.05535926,0.05704089,0.05381216,0.048296414,0.047489231,0.046749314,0.041502629
"Fossil fuel combustion: other greenhouse gases",0.12015935199999994,0.12214611400000042,0.13145795800000037,0.14548783600000004,0.1452521209999995,0.15524931200000047,0.1644840280000004,0.1643419649999993,0.16976638499999996,0.1538843570000008,0.15506048299999975,0.15307069999999978,0.1489160519999997,0.1419080629999998,0.1330166970000004,0.11116237400000006,0.11166527300000073,0.09664221499999925,0.09234121199999912,0.08959252899999992,0.07995880100000008,0.07507479400000072,0.06745258900000106,0.06212000500000059,0.057248337999999954,0.0499412209999992,0.046448159000000544,0.04453778100000072,0.043228229999999535,0.04438350899999932,0.0363529860000007
"Gross total",5.29943466,5.177133522,5.500848235,5.91550786,5.815387307999999,6.2095023519999994,6.618360645000001,6.776133155,7.099772184,8.287013652,7.384901383,7.766501603999999,7.564278883,7.492079017,7.8128392269999996,7.936836594,8.096631253000002,8.538867449,8.551719829,7.9590368950000006,8.211684703000001,7.501759004000001,8.057112479,7.940246331000001,7.914989768000001,7.5180527239999995,7.301553427,7.163088732,7.517128397,7.411844358,6.978001167
