"Florida Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",73.93478571,69.83142429,72.88519951,76.35987776,77.96799391,79.14927298,80.91661614,82.28894265,83.96333758,87.9652062,93.26377404,91.25648662,93.45215125,94.39833331,100.5764587,102.8070851,103.6059936,101.2891498,94.39598349,90.16721835,93.93451942,92.35947983,91.99905262,92.7110739,94.24598009,96.71613029,99.58096927,102.6261574,106.661693,105.370644,89.5327517
"Use of fluorinated gases",0,0,0.095861243,0.41767055,1.017290988,1.608054223,2.327872696,3.072249813,3.590996287,4.114043598,4.604689211,5.091633574,5.311231928,5.47087919,5.656858106,5.769718887,5.837422965,5.872394458,5.893183057,6.069320234,4.190393851,3.358306527,3.828501706,3.26900928,3.29625558,3.156560756,2.975274114,2.781699814,2.681783272,2.574841784,2.471123231
"Fossil fuel combustion: other greenhouse gases",2.392764120999999,2.4916123659999982,2.6992485099999897,2.7839814009999913,2.8375711779999904,2.952027641000001,2.9930027879999983,3.04713133300001,3.0449632819999977,2.909771453999994,2.982128128999989,2.8147305779999954,2.969805985000008,2.8381837200000035,2.810549100000003,2.519762462000017,2.46104519699999,2.1727027510000028,1.9448768889999855,1.8072853799999962,1.8495162820000104,1.7596393530000114,1.5702781629999976,1.4457315940000086,1.3676730679999878,1.2703125410000098,1.1822998370000022,1.0976941240000002,1.1010234220000115,1.097956226000008,0.9220034269999928
"Other transportation categories",0.336258736,0.300809976,0.306729314,0.312312325,0.326438017,0.32078774,0.311370612,0.32892683,0.34433056,0.347895616,0.342716196,0.313993955,0.310294369,0.286818814,0.290585665,0.289105831,0.281639394,0.290854726,0.270002514,0.242760108,0.535430995,0.516933065,0.47173085,0.504556268,0.533345773,0.583727408,0.553323538,0.5153187,0.528300883,0.494533753,0.417851424
"Gross total",76.663808567,72.623846632,75.98703857699999,79.87384203599999,82.149294093,84.030142584,86.548862236,88.737250626,90.943627709,95.33691686799999,101.193307576,99.476844727,102.04348353200001,102.994215034,109.334451571,111.38567228000001,112.18610115599999,109.62510173500002,102.50404594999999,98.286584072,100.509860548,97.99435877500001,97.869563339,97.93037104200002,99.44325451099998,101.72673099500001,104.291866759,107.020870038,110.97280057700002,109.537975763,93.34372978200001
