"Indiana Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",38.3199258,37.47348211,38.0358065,40.2093537,41.77901389,42.78973569,41.95760008,41.78219781,42.61302534,41.75490718,47.29494608,43.06183796,46.79898099,45.31026365,45.42624487,45.26293425,45.34256991,44.74741056,42.09530689,39.61037576,40.1137352,39.26929797,38.86828083,38.32931795,39.83495103,40.33594223,40.33937532,40.09537003,39.82445517,39.13712208,36.31524932
"Use of fluorinated gases",0,0,0.029341966,0.128179672,0.312440344,0.49480981,0.717100435,0.947805721,1.109879677,1.275012686,1.429438412,1.580035676,1.644285411,1.692223682,1.745659732,1.780748859,1.815640874,1.843837969,1.867932452,1.543763857,1.78014167,1.537875487,1.633179438,1.344221046,1.136558833,1.07713384,1.004175138,0.927501331,0.88825343,0.847204812,0.806324018
"Fossil fuel combustion: other greenhouse gases",1.1420959089999982,1.1784400700000006,1.267526162000003,1.3596151029999959,1.4062382299999925,1.4572996520000032,1.4718557839999988,1.4941812040000002,1.4636003259999981,1.3782559610000007,1.335027710999995,1.2473544349999983,1.1718623430000008,1.0889287939999974,0.9886695610000018,0.8474949889999976,0.8081925779999963,0.6854615989999999,0.6357477229999944,0.6624359970000029,0.6213103669999995,0.5951134730000049,0.5486427339999977,0.5104167410000073,0.46492782499999663,0.40858436799999964,0.3838591299999976,0.33520659300000233,0.30101524100000177,0.31095495900000714,0.25650062500000104
"Other transportation categories",0.289105831,0.258634695,0.263679585,0.268455415,0.280630416,0.275787321,0.267648232,0.282715637,0.295966881,0.299061081,0.294621577,0.269935249,0.266706519,0.246594224,0.249822954,0.248544915,0.242154721,0.25002475,0.232132206,0.208723917,0.270944227,0.25870196,0.237378892,0.256280413,0.266706519,0.287625997,0.265832072,0.232535798,0.21652668,0.206638695,0.1880735
"Gross total",39.75112754,38.910556875,39.596354213,41.96560389,43.77832288,45.017632473000006,44.414204530999996,44.506900372000004,45.482472224,44.70723690799999,50.35403378,46.15916332,49.881835263,48.33801035,48.410397117,48.139723012999994,48.208558083,47.526734878,44.831119271,42.025299531,42.786131464,41.660988890000006,41.287481894,40.440236150000004,41.703144207,42.109286435,41.99324166,41.590613752,41.230250521,40.50192054600001,37.566147463
