"Wisconsin Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",24.17092978,24.30502008,25.39458626,26.05774471,27.45836426,28.02033975,28.7040201,28.81911566,30.47979141,30.99842876,30.21980611,30.15695863,30.56999232,30.62270028,31.14285911,30.56602647,30.45168365,30.60794193,29.70198956,28.44940884,29.32078013,28.2734316,28.40529517,27.61877059,30.21917013,29.04498763,29.24362079,28.98940144,31.04988976,30.24264699,27.32790426
"Use of fluorinated gases",0,0,0.025985344,0.113569829,0.276855256,0.43843898,0.635018114,0.838139887,0.980146042,1.124772815,1.260993035,1.394146016,1.454426321,1.496301232,1.544296861,1.573010481,1.59917065,1.621631702,1.640049441,1.354941091,1.560723824,1.346407069,1.428834604,1.173893684,0.991332672,0.938894071,0.873662435,0.806529077,0.770345923,0.733116286,0.696231316
"Fossil fuel combustion: other greenhouse gases",0.8863965369999995,0.931460193000003,1.0033445709999995,1.052139928999999,1.0871974900000012,1.1154376890000002,1.1391507520000026,1.157590006999996,1.181664560999998,1.0977374259999984,1.0388430600000014,0.9712839950000038,0.9155801679999982,0.8688845370000031,0.8017432989999982,0.690766988,0.6500090290000031,0.567112821000002,0.5234435689999977,0.4981893930000041,0.4845340920000005,0.41824095800000194,0.40584845300000083,0.36682649199999773,0.332804399000004,0.30418959900000075,0.282091733999998,0.25525988399999733,0.24218153800000053,0.2483912129999979,0.2034656109999986
"Other transportation categories",0.218275575,0.195270877,0.199104993,0.202737314,0.211885381,0.20825306,0.202131927,0.213499746,0.223522261,0.225876543,0.222513283,0.203813557,0.201459275,0.186190075,0.188678887,0.187669909,0.182826814,0.188813417,0.175293112,0.157602364,0.186862727,0.174889521,0.165472393,0.168364796,0.185046566,0.198566871,0.183835793,0.165068802,0.167490349,0.158409547,0.141795042
"Gross total",25.275601892,25.43175115,26.623021167999998,27.426191782,29.034302387,29.782469479000003,30.680320893000005,31.028345299999998,32.865124273999996,33.44681554399999,32.742155487999995,32.726202198,33.141458084,33.174076123999996,33.677578157000006,33.017473848,32.883690143,32.98549987,32.040775681999996,30.460141688000004,31.552900773,30.212969148000003,30.40545062,29.327855561999996,31.728353767,30.486638171000003,30.583210752,30.216259203,32.22990757,31.382564036,28.369396228999996
