"Michigan Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",47.64817219,47.79455452,48.92739621,51.82682374,51.78828953,53.04422244,54.02068786,54.87056,56.80984111,59.34001072,57.731414,56.64581375,57.90397852,56.39215259,56.19457647,55.10556291,53.77099356,52.588943,48.9425972,47.62934651,48.63761173,47.82299119,47.49919756,48.72241258,48.78221886,49.5489309,50.23703253,49.49224834,51.44254099,50.01811598,42.34605027
"Use of fluorinated gases",0,0,0.04901438,0.213076256,0.51759848,0.818237661,1.184882013,1.561151608,1.82201189,2.087512518,2.335313076,2.576198487,2.675239461,2.742111966,2.816162164,2.850715945,2.877446915,2.890580925,2.891934287,2.366457535,2.709093756,2.332104023,2.472199,2.028389527,1.711386798,1.618522529,1.505849715,1.38897573,1.324366083,1.256745476,1.18968595
"Fossil fuel combustion: other greenhouse gases",1.6520677350000028,1.7203330699999952,1.813230763,1.8735486799999919,1.8742258199999995,1.8819528360000035,1.9665032539999956,1.9763819870000034,1.9769883929999992,1.857939065999993,1.7893699749999996,1.684595638999994,1.5786613479999971,1.4739474209999983,1.3743602859999982,1.2014687849999959,1.1546981399999936,1.0199123099999952,0.9330722130000026,0.8453547890000053,0.8271192659999969,0.7666813409999946,0.6850196429999968,0.6244913890000063,0.5734350540000008,0.5183206639999938,0.47659338299999376,0.4363889029999939,0.41348959700000165,0.42058846100000125,0.35052954200000386
"Other transportation categories",0.617090948,0.552045499,0.562875196,0.573099507,0.598996609,0.588772298,0.571350612,0.603570643,0.631889292,0.638481282,0.628929623,0.576193706,0.569399921,0.526417458,0.533278508,0.530520635,0.516865799,0.533749365,0.495542731,0.445497422,0.277401686,0.265092154,0.243500025,0.267648232,0.271280553,0.301011771,0.286684284,0.253926131,0.2553387,0.237446157,0.202131927
"Gross total",49.917330873,50.066933088999996,51.352516549,54.486548183,54.77911043899999,56.333185235,57.743423739,59.011664238,61.240730684999996,63.92394358599999,62.485026674,61.48280158199999,62.727279249999995,61.134629435,60.918377428,59.688268275,58.320004413999996,57.033185599999996,53.263146431,51.28665625600001,52.451226438,51.186868708,50.899916228,51.642941728000004,51.338321265,51.986785864,52.506159912,51.571539103999996,53.43573537,51.932896074,44.088397689000004
