"New Jersey Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",50.38241751,48.63015796,49.17756097,47.63117232,53.04120666,52.64872925,53.48353787,53.24089258,54.01973869,55.19105153,58.26850682,56.01363461,55.94388239,55.10074871,56.73828185,59.2433326,59.94732848,61.9485671,59.16197819,54.5258691,48.57613086,47.91682338,46.65152575,45.85801215,46.88161951,45.83586971,48.55002465,46.20622102,46.54867532,45.10442873,35.28244686
"Use of fluorinated gases",0,0,0.025140902,0.10981426,0.267923287,0.424961852,0.616601216,0.815998711,0.956592581,1.099270209,1.232185891,1.36235066,1.419069977,1.458478708,1.502357595,1.526108026,1.546445603,1.563806753,1.577618942,1.738097872,1.621151376,1.712210448,1.212825133,1.24555786,1.029201136,0.976074921,0.910404249,0.843222864,0.806923786,0.769950142,0.733480408
"Fossil fuel combustion: other greenhouse gases",1.4013908519999916,1.4535510280000068,1.4999578629999988,1.5214853200000036,1.5500992400000015,1.5797799620000035,1.5618439500000036,1.5550994869999997,1.5462310970000033,1.4571966560000007,1.4634960670000012,1.3718817490000035,1.3178519910000048,1.2253449880000034,1.1553349440000034,1.0968548819999953,1.0890875529999988,0.9949739130000026,0.9863988500000005,0.8414922549999986,0.7174852700000045,0.6854863840000078,0.6281946459999972,0.5807119970000016,0.49615957700000024,0.4779986150000042,0.4400016370000088,0.4049149769999971,0.422901582999998,0.3706382059999953,0.3134708680000031
"Other transportation categories",0.297715777,0.266302928,0.271549614,0.276459973,0.288971301,0.283993676,0.275652791,0.291191052,0.304845888,0.308007352,0.303366053,0.277939808,0.274643813,0.253926131,0.257289391,0.255944087,0.249352098,0.257491187,0.239060522,0.214912315,0.285406245,0.284666328,0.248813976,0.260854447,0.25870196,0.279352377,0.275316465,0.233544776,0.23657171,0.205024331,0.191167699
"Gross total",52.081524138999995,50.35001191600001,50.974209349,49.538931873,55.148200488,54.93746474000001,55.937635827,55.90318183,56.827408256000005,58.055525747,61.267554831,59.025806827,58.955448171,58.038498537,59.65326378,62.122239595,62.83221373400001,64.76483895300001,61.965056504,57.320371542,51.200173751,50.599186540000005,48.741359505,47.945136454,48.665682183,47.569295623,50.17574700100001,47.687903637,48.015072399,46.450041408999994,36.520565835
