"Virginia Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",38.80474156,37.18419428,38.48677684,39.28204872,40.27032488,41.00324422,41.87209142,43.21148674,44.45965258,46.17722365,47.83207611,47.7070324,47.68304106,50.05056614,52.81918992,52.70156399,52.31354812,53.38745376,49.49360747,47.69912041,49.70552113,47.0032031,47.98866123,47.40038582,49.26885459,48.91349134,50.54576182,50.992997,51.49448,51.09076578,45.50532747
"Use of fluorinated gases",0,0,0.020463333,0.089930538,0.220412781,0.350699639,0.510774188,0.678030747,0.796552915,0.920509366,1.03855783,1.154724258,1.209051132,1.249166019,1.30070155,1.336513581,1.370057501,1.396776535,1.418682584,1.573398863,1.478288262,1.571387617,1.122577633,1.160912211,0.96514973,0.920724617,0.863626832,0.803648967,0.772365309,0.740973631,0.70938375
"Fossil fuel combustion: other greenhouse gases",1.2707453949999987,1.3128595579999924,1.3884408400000012,1.4545487130000012,1.512443558000001,1.5555821310000013,1.5743141500000064,1.5306799760000018,1.5037483940000058,1.4484551609999912,1.4139922839999954,1.2870800070000001,1.2488121940000028,1.1738190319999973,1.114554941999998,1.0026509899999994,0.9757831269999997,0.8683076820000011,0.8147475130000004,0.7686401180000004,0.7446326150000004,0.7076646729999965,0.6380220429999994,0.5806070510000012,0.5219745819999986,0.48464322800000303,0.44704138199999477,0.4175040949999982,0.39300822799999935,0.3987672680000003,0.33961128400000007
"Other transportation categories",0.221302509,0.197961485,0.201862866,0.205562452,0.21484505,0.211145464,0.2048898,0.216459415,0.22661646,0.228970742,0.225540217,0.206638695,0.204217148,0.188746152,0.191234965,0.190225987,0.185382892,0.19143676,0.177714659,0.159754851,0.280025029,0.257962043,0.245854307,0.253993396,0.263881381,0.280764946,0.265563011,0.244576268,0.239733174,0.235899058,0.212558033
"Gross total",40.29678946399999,38.69501532299999,40.097543879,41.032090423,42.218026269,43.120671454,44.162069558,45.636656878000004,46.986570349000004,48.77515891899999,50.510166441,50.35547536000001,50.345121534,52.662297343,55.425681377,55.23095454799999,54.84477164,55.843974737,51.90475222600001,50.200914242,52.208467036,49.540217432999995,49.995115213,49.395898478,51.01986028299999,50.599624131,52.121993044999996,52.458726330000005,52.899586711000005,52.466405737,46.766880537
