"Arizona Emissions, Transportation Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Fossil fuel combustion: carbon dioxide",22.8606532,22.9256047,23.76534288,25.09798801,26.05603441,26.55112758,28.20722311,29.81695253,30.52926274,32.37598693,32.81004264,33.69719097,34.94028807,35.75275517,36.08429599,37.49065473,38.042646,37.50943981,34.78298738,32.03482132,34.38803241,33.93772706,33.40166892,32.80832832,34.14460403,34.86571168,35.87573214,36.23052521,37.27924263,37.97920719,34.53169867
"Use of fluorinated gases",0,0,0.013448034,0.059205098,0.145479435,0.233026943,0.339462778,0.450339946,0.53010082,0.612273442,0.688829385,0.763151936,0.798720424,0.825510686,0.856313843,0.880375578,0.90087903,0.917104644,0.929134103,0.984476446,0.712890833,0.277077353,0.919357771,0.792776379,0.806292411,0.768266145,0.720417985,0.670349639,0.645356115,0.620169841,0.595551968
"Fossil fuel combustion: other greenhouse gases",0.7312306029999966,0.7480871619999974,0.763483260000001,0.833504149999996,0.85990228,0.8783088970000001,0.9278903839999977,0.943311155,0.9679548100000019,0.922750146999995,0.9297881980000042,0.8873262350000033,0.8338135389999977,0.8232035920000058,0.7839421989999948,0.7137120780000004,0.7153272020000045,0.6258906029999949,0.5771320609999933,0.5482886129999969,0.5324768750000004,0.5061157129999998,0.46013745300000153,0.4212312349999934,0.38907496199999514,0.3538513970000068,0.3200287169999996,0.29398670699999485,0.27172868099999903,0.2916883240000061,0.23940918299999936
"Other transportation categories",0.144889242,0.129620041,0.132176119,0.134597666,0.140651534,0.138229987,0.134194075,0.141727777,0.148387032,0.149934132,0.14771438,0.135337583,0.133723218,0.123633438,0.125247803,0.124575151,0.121346421,0.125315068,0.116368797,0.104597387,0.191638556,0.185046566,0.16775941,0.176100294,0.180270737,0.199643115,0.193454716,0.177916455,0.17448593,0.171660791,0.156324326
"Gross total",23.736773045,23.803311902999997,24.674450293,26.125294924,27.202067658999997,27.800693406999997,29.608770347,31.352331407999998,32.175705402000006,34.060944651,34.576374603,35.483006724000006,36.706545251,37.525102886000006,37.849799835,39.209317537000004,39.780198653,39.177750124999996,36.405622341,33.672183765999996,35.825038674000005,34.905966692,34.948923554000004,34.198436228,35.52024214,36.187472337,37.10963355799999,37.372778011,38.370813356,39.062726146,35.522984147
