,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MD,24.485006296,24.168657559,24.930442923,24.985227552,25.060173688,25.42499473,26.361113197,27.786111621,28.293663647,30.048201292,30.380055293,30.421861813000003,30.342023786,31.309806453,32.156819426999995,32.68819673499999,32.571354298,32.256535338000006,30.837514319,31.803445757,31.06317543,30.514545735,30.415186913,30.452024356,30.33576244,31.183719262,30.395614970000004,30.175637408,31.158226662,31.232267332,25.929249957
ME,28.475592127,27.011248159,27.470197668,27.621725443,28.273383276,28.795586637000003,30.021614929,30.727534759,31.565195258,32.532483583,33.50380064400001,32.911145543,32.871607358,33.360126426,34.005507438,33.763572041,32.83693635,33.292353487,32.144530816,30.524969163,30.941154765,30.974890753,30.472204901,30.879873956,30.191900275,30.976802112,31.590643904000004,31.171351654,31.694873602,31.667807941,24.23755106
MI,49.917330873,50.066933089,51.352516549,54.486548183,54.77911043899999,56.333185235,57.743423739,59.011664238,61.240730685,63.92394358599999,62.485026674,61.48280158199999,62.72727925,61.134629435,60.918377428,59.688268275,58.320004414,57.0331856,53.263146431,51.28665625600001,52.451226438,51.186868708,50.899916228,51.642941728,51.338321265,51.986785864,52.506159912,51.571539104,53.43573537,51.932896074,44.088397689
MN,24.158118845,24.718955823,26.337032008,28.233991088,29.574812672,30.754361969,32.220091084,32.109454838,33.886198186,36.13323976600001,37.558666173000006,36.969047376000006,37.525344717,37.919523683,38.250275687000006,37.740252132,36.501588573,36.157620145,34.80930333999999,32.209499153,32.317758071,31.367531831,31.998921191,31.097174901,31.567123343,30.692467234,33.105938469,33.299184808,33.532763119,33.396736317999995,27.362734722000003
MO,19.635837762,20.103559483,21.697186746000003,21.751810617,22.127183498,23.001435902,23.753983148000003,24.289715318,25.264002786,27.057448714,25.842100072,24.911338323,25.086243062,26.549566931,25.219529134,24.933097741,25.651879447,24.961829976,24.274257829000003,22.856678807,22.291408764,21.909868039000003,23.245878182,21.136350702,22.020549925,22.416525896000003,23.316803713,22.843980853,23.298197693,23.534669594,22.591551267
MS,34.843759432,34.689066272000005,36.284462719,37.23574202699999,38.642211613,39.45682973299999,40.80190846,42.152390457,42.720469648000005,42.251573924000006,42.640604955,42.145209359,43.522465427,44.502466401,43.390727758,43.80285017,43.784533565,43.94694322,41.955675711000005,39.914036274,40.67240516,39.491893042,38.62370187700001,37.743238032,39.019238027,38.431167825,39.293894824,39.064630045,39.660497171,39.287407212,35.68634171400001
MT,5.860271715,5.693934449,6.140022835,6.386201734999999,6.63309402,6.802512572,6.812254068,6.948735720999999,7.118210560000001,7.477878022,7.516707575,7.540509568000001,7.643597501999999,7.830757826999999,7.920661458,8.042730944999999,8.142372085,8.199817719999999,7.743348715000001,7.438030423999999,7.721596308,7.633977611000001,7.857236382,7.732710047999999,7.816881334,7.670361114,7.680033716,7.719073397000001,7.801439359000001,7.663255653999999,7.471777402
NC,10.459714872,10.029075954,10.612623290999998,10.682577708,11.132653134,11.866951841,12.469487378999998,12.285607748,12.914672583,13.293575397,13.120082528,12.945506097,13.261720038999998,13.361069551,13.249681203,12.975780528,12.921994405,13.329599029,13.052177615000002,12.312652891,13.039292194000002,12.746895381000002,12.616306041,12.597831796,13.11101762,12.920872056,13.123706553,13.12706849,13.496264295,13.422356916,12.52754157
ND,9.543994468,9.792918029,10.094226562,10.577059789,11.076692577,11.503356673,12.737266152,12.963622428,13.591157432,14.476189736,14.876970822,14.903254523,15.20473104,15.80141569,16.533817954,17.468549660000004,17.948102779000003,17.970858415,16.174241669,14.716152752,16.738176068000005,16.180151813,16.468627361000003,16.564792235000002,16.618284344000003,16.769406443,17.484545116,18.195959574,18.163518912,18.214868548,15.467501596000002
NE,5.467859049,5.526433290000001,5.564796271,5.616371183,5.800770392,6.047644546999999,6.261912882000001,7.245248842,7.333602451000001,7.610067582,7.6940995,7.675393676,7.919542585999999,8.000307037999999,8.048601767000001,7.699683527999999,7.501706489,7.633760694999999,7.294912002,7.237873853,7.331519232000001,7.167727272000001,6.967739431999999,6.931926924,7.077698526,6.871659514,6.825192221,6.870556261,7.027772248,6.939387213,6.031793198
NH,52.081524139,50.35001191600001,50.974209349,49.538931873,55.148200488,54.93746474000001,55.937635827,55.90318183,56.827408256000005,58.055525747,61.267554831,59.025806827,58.955448171,58.038498537,59.65326378,62.122239595,62.83221373400001,64.76483895300001,61.965056504,57.320371542,51.200173751,50.599186540000005,48.741359505,47.945136454,48.665682183,47.569295623,50.17574700100001,47.687903637,48.015072399,46.450041409,36.520565835
NJ,15.337337126,14.989258429,14.373358905999998,16.334096393999996,16.057193736000002,15.749561039,13.935080294,16.510915698,16.942863409,17.127263311,16.718220256,16.72450062,16.592284502,16.382075587000003,16.679635034,16.173338453,16.510592948000003,16.045476931,14.854811038,14.560022022,14.164697039999998,14.58007785,14.752525704,14.364893996,14.900408556,14.848258308,14.574425078,15.42239426,15.634717136,15.827640454,15.129083213
NM,67.008680525,63.963170638,63.91650107,64.442065786,64.34330502,66.40113839899999,68.828594107,68.06158081599999,70.08547537499999,70.55470370999998,71.249643348,70.73721382400001,74.25258579800001,76.8301657,78.401816,77.924822816,77.513337757,77.19185255400001,75.573840414,73.09818033600001,80.39273274,77.262476029,74.85061510499999,74.47931298299999,77.18825601799999,75.36663635000001,78.49377501,79.719166466,77.685705728,78.25191213699999,61.511484395
NV,40.087465216000005,39.034967159,40.39719801500001,41.927583119,44.111977496,45.51721368,48.481093288,49.465754826,51.353791069,52.88107604100001,54.88479877,53.474558806000005,53.90767366299999,55.670300690000005,56.293331839,56.412416273,55.635294357,56.252862363000006,53.131424336,50.905713785,53.58981055,51.987721429,50.290839465,50.615190905,52.28594566399999,53.01556750099999,54.927683054000006,55.390295108,56.390203274,57.142320321,51.700201732
NY,4.579757917,4.589400361,4.894694603,5.123359010000001,5.22296469,5.235728733,5.363248357000001,5.370599223,5.191853992,5.807491777,5.798592080000001,6.102988855,6.013769397,6.176540073,6.203154753,6.204760171999999,6.025799984000001,6.230442128,6.257149074,6.138077584,7.064701761,8.161071461,9.070241322,9.233418820999995,9.763898796,8.857754571,7.79735543,8.168633202,8.559400017000002,8.938500905,7.904326209
OH,59.610429501000006,57.923046259,58.604439052,61.194673453,63.16943047899999,65.16406892900001,66.77976085899999,68.856779297,70.692041509,74.117107762,74.777464975,73.665051613,73.98115832399999,74.97228658899999,74.994804566,74.218581576,73.01220095500001,72.17635026,69.28569959,64.182531849,63.395333538,61.842892424,60.75752003,60.08167435600001,62.041178163,62.11405374099999,62.024972845,62.810955228000005,63.363020086000006,62.167603721,56.683533606000005
OK,24.211369844,24.191727396,26.231213945,25.555373562,26.895168692,26.059373511,27.458461305000004,26.928089311,27.333189199,28.714691588,29.519003416,32.347572759,29.932432531,28.656919616,29.173332682,29.738693156,29.29340882,29.980845869,30.199377925,28.333669936000003,29.262462746000004,28.45558115,29.223050116,29.477197577,31.380876822,30.164627356,30.525703886,31.196980716,31.886900476,30.974103552000003,28.222742565
OR,18.650036765000003,18.706350657,19.397726602,19.726274806999992,19.98011137,20.297882547,21.334308759,21.00555867,22.286247346,22.760865007000003,22.427469123,21.647250263000004,22.199028505,22.537006883,22.693006436000005,22.853547058000004,23.009037845,23.080211728,21.61634338,21.263795116999997,20.713402534,19.891844227000004,19.479827043000004,19.387688065,19.812779256,20.120684621,20.590719228,21.038801066000005,21.705430758,20.968906805,19.05031264
PA,60.395015741,59.520553319,61.705903412000005,63.492008543,64.468091237,65.865214309,66.390183987,68.045120124,69.54423140300001,71.45566311099999,73.38001602800001,72.798731358,72.862054284,73.14721722499999,73.08495339500001,73.66802459499999,72.46380404400001,71.74834819099999,68.76485306299999,67.14893218099999,67.40632309799999,67.29123666100001,64.706969617,64.281687301,64.915848068,63.067385136,62.386521544,63.299372397,62.610854804000006,63.110488517,54.441961674000005
RI,4.141119879,3.956039983,4.105165244999999,4.071373790999999,4.047682517,4.163581655000001,4.288431504000001,4.420135893,4.583756997,4.832190598,4.856859536,4.875652726,4.759259633,4.742773640999999,4.582611279999999,4.50400068,4.582046792,4.455068527,4.309219957,4.311840565000001,4.322199268000001,4.119400987000001,3.883250352,3.868136828,4.181135647,4.150532219,3.892548785,3.967378075,4.122193989,4.075972018999999,3.426810876
SC,22.928130837,21.887657018,22.638489891000003,23.478912256000005,24.849825910000003,24.669773301000003,25.254710569,26.263653978,28.083788337,29.238520698,29.810895815,29.680307978,29.976265243,30.417147966,33.187171823,31.653574766,32.410329352,32.265659963000004,31.205805913999995,31.589351545,31.280733972,31.205753972,30.592894882,31.382046755,30.622454688000005,31.997981126,33.117052069,33.480606370000004,33.361439085,33.133963467,29.720210695
SD,5.03521913,4.824184798000001,5.415238874,5.513152738,5.988717460999999,6.063490743999999,6.149307533,5.996204971000001,6.241319873999999,6.402142473,6.490923791000001,6.338612872,6.558677654,6.539972089000001,6.541884086,6.588306054,6.529444802,6.824391103000001,6.499179756,6.50278474,6.71677145,6.685277667,6.981606800000001,6.657433453,6.9752768,6.956699225,7.020994468000001,7.018820962,7.061490169,6.892370538000001,6.761403522999999
TN,31.995066104000003,30.313166186,32.512146205,34.594428408999995,36.26753554699999,37.602714144,39.339979853,40.013829552,41.069855539,43.219773127,43.479882907,42.693465362000005,44.28682342999999,45.346092192,44.897712168,45.601589088,45.26493056,45.118183895,42.852580501000006,41.146676355,42.057588544,41.700880459,39.94779780500001,39.578771385,41.171023678,41.367256275,42.504554049,42.62749006,43.16898616499999,45.108579049,41.839162855000005
TX,137.260161337,130.597903485,135.434640386,136.04112916900004,143.922473712,141.34083357900002,155.16110629800002,156.63401994500003,163.43267809,168.61859523200002,175.231515775,179.843790308,187.620150393,183.72986959500005,182.343552356,183.191049829,189.571138726,192.91777097,187.918924309,177.48923858799995,172.630887528,175.559467525,178.501047315,190.939337137,192.16409619,193.584726297,199.445105438,202.90280552,210.768014445,214.47600915799995,186.398653835
UT,10.726113029,10.905175029,11.279436887,11.654782675,12.083462253,13.261034744000002,13.805437718,14.480585871,15.014897414999998,15.493339867000005,16.255080207000002,15.588963348,16.100830097,16.381615893999996,16.672792720999997,16.826324649999997,18.385428216,18.216506128,17.077544704000005,16.186492749000003,15.611366308,16.468838585000004,16.381417151,16.374576599,16.636688915,16.583517576999995,17.339234752000003,17.678358688,18.454835169,18.172051018,17.305470211999996
VA,3.189423674,3.262988694,3.486441404,3.667949242,3.74650705,3.911237895,4.111373306,3.968692006,3.936425668,3.784512142,3.98897682,4.053297257,3.971492172,4.052166492,4.023606209,4.001074603999999,3.966832023,3.895706421,3.634819908,3.610026435,3.492261677,3.415652189,3.325674801,3.3104460010000003,3.305630592,3.286684597,3.331947323,3.286201451,3.145848701,3.2443387370000005,2.722309341
VT,40.29678946399999,38.69501532299999,40.097543879,41.032090423,42.218026269,43.120671454,44.162069558,45.636656878,46.986570349,48.77515891899999,50.510166441,50.35547536000001,50.345121534,52.662297343,55.425681377,55.23095454799999,54.84477164,55.843974737,51.90475222600001,50.200914242,52.208467036,49.540217433,49.995115213,49.395898478,51.01986028299999,50.599624131,52.121993045,52.458726330000005,52.899586711000005,52.466405737,46.766880537
WA,34.94281139399999,33.954200492,37.97618265,36.525387511,38.04048547,39.488370894000006,39.74017242199999,38.311588373,37.437305033,40.133176133,41.19278339299999,39.479302573,38.60920894099999,38.300679747,39.122446478,39.142367848,39.46675470699999,40.636434062,37.357258174,36.108241719,34.732195379000004,34.36796343,34.251793106,35.270761632,34.96712889500001,35.594350278,37.717941093,38.093705064000005,38.901219029,39.66627451099999,31.057811289
WI,10.268716479,10.016574565,11.099743488999998,11.350808748,11.990843779000002,12.160335852,11.236459066,12.524347738,12.703056324000002,12.767858401999998,12.963465081,12.763962639,12.729088748,11.962942585,12.289577591000002,12.179023464,12.105469074000002,12.053321563,11.115138450999998,11.731229154,11.979019411,11.586095367,12.02163802,11.518513063,11.669397635,12.281038099,11.020698373,11.983479781000002,13.666843445,13.704134640999998,11.611902195
WV,25.275601892,25.43175115,26.623021168,27.426191782,29.034302387,29.782469479000003,30.680320893000005,31.0283453,32.865124274,33.44681554399999,32.742155487999995,32.726202198,33.141458084,33.174076124,33.677578157000006,33.017473848,32.883690143,32.98549987,32.040775682,30.460141688000004,31.552900773,30.212969148000003,30.40545062,29.327855562,31.728353767,30.486638171000003,30.583210752,30.216259203,32.22990757,31.382564036,28.369396229
WY,5.29943466,5.177133522,5.500848235,5.91550786,5.815387307999999,6.209502352,6.618360645000001,6.776133155,7.099772184,8.287013652,7.384901383,7.766501603999999,7.564278883,7.492079017,7.812839226999999,7.936836594,8.096631253000002,8.538867449,8.551719829,7.959036895,8.211684703000001,7.501759004000001,8.057112479,7.940246331000001,7.914989768000001,7.518052723999999,7.301553427,7.163088732,7.517128397,7.411844358,6.978001167
